sample,n,lags,pos_ret_F,pos_ret_p,ret_pos_F,ret_pos_p
Full Sample,512,1,0.425,0.5145,1.129,0.2885
Full Sample,512,2,0.949,0.3876,3.215,0.041
Full Sample,512,3,1.531,0.2054,3.364,0.0186
Full Sample,512,4,1.128,0.3426,2.994,0.0184
High-Vol,325,1,0.657,0.4182,2.43,0.12
High-Vol,325,2,0.729,0.4833,4.127,0.017
High-Vol,325,3,1.182,0.3168,3.038,0.0293
High-Vol,325,4,0.773,0.5434,2.95,0.0204
Low-Vol,187,1,0.905,0.3426,1.192,0.2763
Low-Vol,187,2,0.946,0.3901,0.706,0.4951
Low-Vol,187,3,0.694,0.557,2.079,0.1046
Low-Vol,187,4,0.346,0.8468,1.854,0.1205
