release_date,signal,net_pos,pos_pct,pos_z,price,ret_1w,ret_2w,ret_4w
2018-02-02,CROWDED_LONG,251778,0.919,1.54,65.4499969482422,1.05,-3.18,-6.13
2018-02-09,CROWDED_LONG,271314,0.953,1.81,59.2000007629395,10.56,11.72,8.61
2018-02-16,CROWDED_LONG,263861,0.938,1.71,61.6800003051758,-4.02,6.11,2.74
2018-02-23,CROWDED_LONG,251435,0.917,1.54,63.5499992370606,-2.94,-6.85,4.08
2018-03-02,CROWDED_LONG,243767,0.902,1.43,61.25,3.76,0.7,6.86
2018-03-09,CROWDED_LONG,245383,0.904,1.45,62.0400009155274,-1.27,2.43,-4.58
2018-03-23,CROWDED_LONG,247480,0.911,1.48,65.879997253418,-5.37,-5.83,-3.54
2018-04-06,CROWDED_LONG,278481,0.966,1.91,62.060001373291,6.16,0.45,-1.31
2018-04-13,CROWDED_LONG,290278,0.981,2.08,67.3899993896484,-7.91,-2.24,-7.94
2018-04-20,CROWDED_LONG,296574,0.987,2.17,68.379997253418,-1.45,-9.24,-8.83
2018-04-27,CROWDED_LONG,287827,0.979,2.04,68.0999984741211,0.41,-1.04,-3.26
2018-05-04,CROWDED_LONG,284626,0.976,2,69.7200012207031,-2.32,-1.92,-10.99
2018-05-11,CROWDED_LONG,276807,0.959,1.89,70.6999969482422,-1.39,-3.68,-4.68
2018-05-18,CROWDED_LONG,266988,0.944,1.75,71.2799987792969,-0.81,-2.19,-4.07
2018-05-25,CROWDED_LONG,279105,0.968,1.92,67.879997253418,5.01,4.15,0.32
2018-06-01,CROWDED_LONG,306841,0.996,2.31,65.8099975585938,3.15,8.31,5.94
2018-06-08,CROWDED_LONG,297400,0.991,2.18,65.7399978637695,0.11,3.26,7.54
2018-06-15,CROWDED_LONG,304826,0.992,2.28,65.0599975585938,1.05,1.15,9.56
2018-06-22,CROWDED_LONG,285084,0.977,2.01,68.5800018310547,-5.13,-4.14,-1.02
2018-06-29,CROWDED_LONG,246220,0.91,1.46,74.1500015258789,-7.51,-12.26,-11.25
2018-10-19,CROWDED_LONG,243677,0.9,1.43,69.120002746582,3.21,7.55,2.4
2018-10-26,CROWDED_LONG,255829,0.927,1.6,67.5899963378906,2.26,5.55,8.37
2018-11-02,CROWDED_LONG,246128,0.908,1.46,63.1399993896484,7.05,9.47,17.74
2018-11-09,CROWDED_LONG,255614,0.925,1.6,60.189998626709,4.9,12.29,18.52
2018-11-16,CROWDED_LONG,245517,0.906,1.45,56.4599990844727,6.61,11.83,22.42
2019-10-04,CROWDED_LONG,248096,0.913,1.49,52.810001373291,5.87,10,7.03
2019-10-11,CROWDED_LONG,258022,0.932,1.63,54.7000007629395,-3.46,2.21,0.27
2019-10-18,CROWDED_LONG,266422,0.942,1.75,53.7799987792969,1.71,-1.8,8.01
2019-10-25,CROWDED_LONG,266320,0.94,1.74,56.6599998474121,-5.08,-3.46,-1.32
2019-11-01,CROWDED_LONG,271894,0.955,1.82,56.2000007629395,0.82,-4.31,-6.03
2019-11-08,CROWDED_LONG,275938,0.957,1.88,57.2400016784668,-1.82,-1.01,-4.44
2019-11-15,CROWDED_LONG,261078,0.934,1.67,57.7200012207031,-0.83,-2.63,-6.83
2019-11-22,CROWDED_LONG,291905,0.983,2.1,57.7700004577637,-0.09,-0.92,-1.92
2019-11-29,CROWDED_LONG,261749,0.936,1.68,55.1699981689453,4.71,4.62,1.87
2019-12-06,CROWDED_LONG,276846,0.96,1.89,59.2000007629395,-6.81,-2.42,-3.31
2019-12-13,CROWDED_LONG,254522,0.923,1.58,60.0699996948242,-1.45,-8.16,-3.91
2019-12-20,CROWDED_LONG,251048,0.915,1.53,60.439998626709,-0.61,-2.05,-4.42
2019-12-27,CROWDED_LONG,256357,0.928,1.61,61.7200012207031,-2.07,-2.67,-10.61
2020-01-03,CROWDED_LONG,254079,0.921,1.57,63.0499992370606,-2.11,-4.14,-6.11
2020-01-10,CROWDED_LONG,256745,0.93,1.61,59.0400009155274,6.79,4.54,1.74
2020-01-17,CROWDED_LONG,293263,0.985,2.12,58.5400009155273,0.85,7.7,3.25
