model,release_date,net_pos,pos_pct,ret_4w,cook_d,leverage,stud_res,n_flags,flags
M1_CFTC_only,2018-06-01,306841,0.996,5.94,6e-05,0.012,0.101,1,Lev
M1_CFTC_only,2018-06-15,304826,0.992,9.56,0.00084,0.0117,0.375,1,Lev
M1_CFTC_only,2018-11-23,234237,0.879,34.05,0.01395,0.0051,2.351,1,Cook
M1_CFTC_only,2020-01-31,283303,0.972,22.28,0.00878,0.0093,1.369,1,Cook
M1_CFTC_only,2020-02-21,306441,0.994,1.52,0.00031,0.0119,-0.228,1,Lev
M1_CFTC_only,2020-03-06,277881,0.964,21.9,0.00804,0.0087,1.351,1,Cook
M1_CFTC_only,2020-03-13,240613,0.893,64.04,0.05767,0.0055,4.649,2,Cook+Stud
M1_CFTC_only,2020-03-20,282070,0.97,137.98,0.46264,0.0092,11.101,2,Cook+Stud
M1_CFTC_only,2020-03-27,270953,0.949,108.09,0.24659,0.0081,8.272,2,Cook+Stud
M1_CFTC_only,2020-04-03,268906,0.945,45.66,0.03908,0.0079,3.165,2,Cook+Stud
M1_CFTC_only,2020-04-17,315314,0.998,73.67,0.17451,0.013,5.274,3,Cook+Lev+Stud
M1_CFTC_only,2020-04-24,339702,1,32.41,0.03376,0.0164,2.021,2,Cook+Lev
M1_CFTC_only,2020-05-15,189334,0.731,-37.92,0.01173,0.0027,-2.942,2,Cook+Stud
M1_CFTC_only,2020-05-22,183420,0.712,-49.05,0.01782,0.0025,-3.783,2,Cook+Stud
M1_CFTC_only,2020-05-29,167764,0.625,-44.27,0.01209,0.0022,-3.381,2,Cook+Stud
M1_CFTC_only,2020-06-05,174199,0.67,-37.45,0.00936,0.0023,-2.874,2,Cook+Stud
M1_CFTC_only,2022-12-09,87639,0.311,30.4,0.00829,0.003,2.374,1,Cook
M1_CFTC_only,2026-03-13,135893,0.505,-36.29,0.00692,0.0019,-2.706,1,Stud
M1_CFTC_only,2026-06-12,35576,0.021,24.2,0.01224,0.006,2.018,1,Cook
M1_CFTC_only,2026-06-19,28255,0.013,26.11,0.01564,0.0066,2.177,1,Cook
M3_CFTC_Macro,2024-05-03,106756,0.418,11.27,0.04514,0.1136,1.581,1,Cook
M3_CFTC_Macro,2025-06-13,30364,0.015,-14.37,0.04038,0.0556,-2.232,1,Cook
M3_CFTC_Macro,2026-01-16,10558,0.004,-4.68,0.00013,0.1471,0.073,1,Lev
M3_CFTC_Macro,2026-03-06,103765,0.394,-30.09,0.05236,0.0704,-2.243,1,Cook
M3_CFTC_Macro,2026-03-13,135893,0.505,-36.29,0.136,0.1091,-2.884,2,Cook+Stud
M3_CFTC_Macro,2026-03-20,122317,0.46,-32.48,0.08823,0.1081,-2.304,1,Cook
M3_CFTC_Macro,2026-03-27,139284,0.518,-32.74,0.10183,0.1015,-2.58,2,Cook+Stud
M3_CFTC_Macro,2026-04-17,108173,0.42,17.26,0.04683,0.0853,1.898,1,Cook
M3_CFTC_Macro,2026-06-12,35576,0.021,24.2,0.10238,0.0866,2.841,2,Cook+Stud
M3_CFTC_Macro,2026-06-19,28255,0.013,26.11,0.22995,0.1287,3.473,2,Cook+Stud
