contract_code,expiry_date,delivery_month,n_days_with_data,price_source,covid_negative_price,M1M2_pre_baseline,M1M2_pre_vol,M1M2_entry,M1M2_expiry_week_mean,M1M2_expiry_week_end,M1M2_expiry_week_chg,M1M2_expiry_week_chg_pct,M1M2_on_expiry,M1M2_post_1d,M1M2_post_5d,M1M2_post_chg,M1M2_post_chg_pct,roll_compression,roll_reversion,cftc_releasedate,cftc_cutoff_date,cftc_net_long,cftc_days_before_expiry,pos_z_full,pos_z_roll52,pos_pct_full,pos_pct_roll52,mm_chg,mm_chg_z,extreme_long,extreme_short,mm_long,mm_short,ls_ratio
CLF17,2016-12-19,2017-01,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-12-09,2016-12-06,135101,10,-0.0916,,0.4972,,5900,0.3978,0,0,,,
CLF18,2017-12-18,2018-01,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-12-08,2017-12-05,216048,10,1.0402,1.0172,0.822,0.8824,4321,0.2948,0,0,,,
CLF19,2018-12-18,2019-01,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-12-07,2018-12-04,226166,11,1.1817,-0.6872,0.8569,0.2353,6489,0.4363,0,0,,,
CLF20,2019-12-18,2020-01,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-12-06,2019-12-03,276846,12,1.8903,1.9749,0.9596,0.9804,15097,0.9981,1,0,,,
CLF21,2020-12-18,2021-01,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-12-11,2020-12-08,175267,7,0.47,-0.7374,0.6752,0.3725,-3364,-0.2068,0,0,406664,67302,6.0424
CLF22,2021-12-20,2022-01,26,CL_data_TWAP,FALSE,0.1749,0.0214,0.2168,0.3404,0.9067,0.6899,3.1824,0.0637,0.275,0.3674,0.3037,4.7689,0.7318,-0.5393,2021-12-10,2021-12-07,140739,10,-0.0128,-0.4666,0.5248,0.2745,-12789,-0.8219,0,0,,,
CLF23,2022-12-19,2023-01,26,CL_data_TWAP,FALSE,-0.1432,0.0621,-0.103,-0.1174,-0.32,-0.217,-2.106,-0.1983,-0.218,-0.1425,0.0558,0.2812,-0.1768,0.1775,2022-12-09,2022-12-06,87639,10,-0.7553,-0.1777,0.3064,0.4314,-12303,-0.7902,0,0,208273,64192,3.2445
CLF24,2023-12-18,2024-01,26,CL_data_TWAP,FALSE,-0.2197,0.0235,-0.2477,-0.2829,-0.3108,-0.0632,-0.255,-0.3558,-0.3845,-0.155,0.2008,0.5644,-0.0911,0.1558,2023-12-08,2023-12-05,106213,10,-0.4956,1.4125,0.4092,0.9216,1358,0.1014,0,0,201196,138419,1.4535
CLF25,2024-12-18,2025-01,26,regime_labels_daily,FALSE,0.2997,0.0702,0.4033,0.4345,0.4312,0.028,0.0693,0.5266,0.7908,0.2397,-0.2868,-0.5447,0.1316,-0.1915,2024-12-06,2024-12-03,86643,12,-0.7692,0.8755,0.2991,0.7843,-7355,-0.4672,0,0,192032,77211,2.4871
CLF26,2025-12-18,2026-01,26,regime_labels_daily,FALSE,0.2072,0.0684,0.2055,0.1516,0.1225,-0.0831,-0.4041,0.2128,0.1809,0.2117,-0.0011,-0.0052,-0.0847,0.0892,2025-12-05,2025-12-02,85805,13,-0.7809,0.9784,0.2917,0.8039,-6222,-0.3933,0,0,130467,165235,0.7896
CLG16,2016-01-20,2016-02,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-01-08,2016-01-05,134741,12,-0.0967,,0.4954,,,,0,0,,,
CLG17,2017-01-20,2017-02,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-01-06,2017-01-03,160377,14,0.2618,0.9962,0.6073,0.9216,684,0.0574,0,0,,,
CLG18,2018-01-22,2018-02,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-01-12,2018-01-09,224940,10,1.1645,1.06,0.8532,0.902,-10137,-0.6488,0,0,,,
CLG19,2019-01-22,2019-02,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-01-11,2019-01-08,217512,11,1.0607,-0.9756,0.8257,0.1176,-3084,-0.1885,0,0,,,
CLG20,2020-01-21,2020-02,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-01-10,2020-01-07,256745,11,1.6093,1.1306,0.9303,0.8235,2666,0.1868,1,0,340235,29708,11.4526
CLG21,2021-01-20,2021-02,25,CL_data_TWAP,FALSE,0.0382,0.1256,-0.0469,-0.0517,-0.0597,-0.0128,-0.2742,-0.0226,0.1228,0.1123,0.135,5.9606,-0.0979,0.1721,2021-01-08,2021-01-05,187450,12,0.6403,-0.4094,0.7211,0.5686,8082,0.5402,0,0,,,
CLG22,2022-01-20,2022-02,26,CL_data_TWAP,FALSE,0.5559,0.0667,0.4843,0.5988,0.6883,0.204,0.4211,1.0672,0.8951,1.2209,0.1537,0.144,0.1324,0.5326,2022-01-07,2022-01-04,99470,13,-0.5898,-2.2382,0.3633,0.0196,-5086,-0.3192,0,0,298199,64844,4.5987
CLG23,2023-01-20,2023-02,26,CL_data_TWAP,FALSE,-0.2508,0.0197,-0.2168,-0.2686,-0.3249,-0.1081,-0.4984,-0.2556,-0.1745,-0.2573,-0.0017,-0.0066,-0.0741,0.0676,2023-01-06,2023-01-03,88767,14,-0.7395,0.014,0.3138,0.5294,10151,0.6753,0,0,201793,62953,3.2055
CLG24,2024-01-22,2024-02,26,CL_data_TWAP,FALSE,-0.0779,0.046,-0.1257,0.1124,0.5308,0.6565,5.2221,0.2238,0.1146,0.16,-0.0638,-0.285,0.6087,-0.3708,2024-01-12,2024-01-09,78726,10,-0.8799,0.0351,0.2459,0.5098,-18440,-1.1907,0,0,201782,110826,1.8207
CLG25,2025-01-21,2025-02,26,regime_labels_daily,FALSE,1.02,0.3163,1.3124,0.8309,0.5155,-0.797,-0.6072,0.3027,0.7483,0.6437,0.341,1.1263,-0.5046,0.1282,2025-01-10,2025-01-07,25688,11,-1.6215,-1.6682,0.011,0.0588,-25588,-1.6572,0,1,295756,41877,7.0625
CLG26,2026-01-20,2026-02,26,regime_labels_daily,FALSE,0.1827,0.0447,0.1669,0.0225,0.1439,-0.023,-0.1377,0.1805,0.2456,0.218,0.0375,0.2079,-0.0388,0.0741,2026-01-09,2026-01-06,32824,11,-1.5217,-2.0793,0.0183,0.0392,-16024,-1.033,0,1,148771,124243,1.1974
CLH16,2016-02-22,2016-03,0,unavailable,FALSE,,,,,,,,,,,,,,,2016-02-12,2016-02-09,115474,10,-0.3661,,0.4367,,-15129,-0.9746,0,0,,,
CLH17,2017-02-21,2017-03,0,unavailable,FALSE,,,,,,,,,,,,,,,2017-02-10,2017-02-07,124967,11,-0.2333,-0.3355,0.4716,0.3333,6739,0.4526,0,0,,,
CLH18,2018-02-20,2018-03,0,unavailable,FALSE,,,,,,,,,,,,,,,2018-02-09,2018-02-06,271314,11,1.813,2.7505,0.9523,1,19536,1.2878,1,0,,,
CLH19,2019-02-20,2019-03,0,unavailable,FALSE,,,,,,,,,,,,,,,2019-02-08,2019-02-05,173604,12,0.4467,-2.2376,0.6624,0,-13665,-0.8791,0,0,,,
CLH20,2020-02-20,2020-03,0,unavailable,FALSE,,,,,,,,,,,,,,,2020-02-07,2020-02-04,270665,13,1.8039,1.2538,0.9468,0.8627,-12638,-0.812,1,0,249960,123251,2.0281
CLH21,2021-02-22,2021-03,26,CL_data_TWAP,FALSE,0.1153,0.0315,0.0214,0.0792,0.5162,0.4948,23.0943,-0.0264,0.3016,0.245,0.2714,10.2771,0.401,-0.2713,2021-02-12,2021-02-09,144777,10,0.0437,-1.0816,0.5413,0,-9164,-0.5853,0,0,,,
CLH22,2022-02-22,2022-03,26,CL_data_TWAP,FALSE,1.5941,0.2292,1.8181,1.4235,1.1705,-0.6476,-0.3562,0.909,1.3486,2.0186,1.1095,1.2205,-0.4237,0.8481,2022-02-11,2022-02-08,102739,11,-0.5441,-1.611,0.3798,0.0784,2970,0.2066,0,0,306282,45638,6.7111
