contract_code,delivery_month,expiry_date,expiry_year,expiry_month
CLG16,2016-02,2016-01-20,2016,1
CLH16,2016-03,2016-02-22,2016,2
CLJ16,2016-04,2016-03-21,2016,3
CLK16,2016-05,2016-04-20,2016,4
CLM16,2016-06,2016-05-20,2016,5
CLN16,2016-07,2016-06-21,2016,6
CLQ16,2016-08,2016-07-20,2016,7
CLU16,2016-09,2016-08-22,2016,8
CLV16,2016-10,2016-09-20,2016,9
CLX16,2016-11,2016-10-20,2016,10
CLZ16,2016-12,2016-11-18,2016,11
CLF17,2017-01,2016-12-19,2016,12
CLG17,2017-02,2017-01-20,2017,1
CLH17,2017-03,2017-02-21,2017,2
CLJ17,2017-04,2017-03-21,2017,3
CLK17,2017-05,2017-04-20,2017,4
CLM17,2017-06,2017-05-22,2017,5
CLN17,2017-07,2017-06-20,2017,6
CLQ17,2017-08,2017-07-20,2017,7
CLU17,2017-09,2017-08-22,2017,8
CLV17,2017-10,2017-09-20,2017,9
CLX17,2017-11,2017-10-20,2017,10
CLZ17,2017-12,2017-11-17,2017,11
CLF18,2018-01,2017-12-18,2017,12
CLG18,2018-02,2018-01-22,2018,1
CLH18,2018-03,2018-02-20,2018,2
CLJ18,2018-04,2018-03-20,2018,3
CLK18,2018-05,2018-04-20,2018,4
CLM18,2018-06,2018-05-22,2018,5
CLN18,2018-07,2018-06-20,2018,6
CLQ18,2018-08,2018-07-20,2018,7
CLU18,2018-09,2018-08-21,2018,8
CLV18,2018-10,2018-09-20,2018,9
CLX18,2018-11,2018-10-22,2018,10
CLZ18,2018-12,2018-11-16,2018,11
CLF19,2019-01,2018-12-18,2018,12
CLG19,2019-02,2019-01-22,2019,1
CLH19,2019-03,2019-02-20,2019,2
CLJ19,2019-04,2019-03-20,2019,3
CLK19,2019-05,2019-04-22,2019,4
CLM19,2019-06,2019-05-21,2019,5
CLN19,2019-07,2019-06-20,2019,6
CLQ19,2019-08,2019-07-22,2019,7
CLU19,2019-09,2019-08-20,2019,8
CLV19,2019-10,2019-09-20,2019,9
CLX19,2019-11,2019-10-22,2019,10
CLZ19,2019-12,2019-11-20,2019,11
CLF20,2020-01,2019-12-18,2019,12
CLG20,2020-02,2020-01-21,2020,1
CLH20,2020-03,2020-02-20,2020,2
CLJ20,2020-04,2020-03-20,2020,3
CLK20,2020-05,2020-04-21,2020,4
CLM20,2020-06,2020-05-19,2020,5
CLN20,2020-07,2020-06-22,2020,6
CLQ20,2020-08,2020-07-21,2020,7
CLU20,2020-09,2020-08-20,2020,8
CLV20,2020-10,2020-09-22,2020,9
CLX20,2020-11,2020-10-20,2020,10
CLZ20,2020-12,2020-11-20,2020,11
CLF21,2021-01,2020-12-18,2020,12
CLG21,2021-02,2021-01-20,2021,1
CLH21,2021-03,2021-02-22,2021,2
CLJ21,2021-04,2021-03-22,2021,3
CLK21,2021-05,2021-04-20,2021,4
CLM21,2021-06,2021-05-20,2021,5
CLN21,2021-07,2021-06-22,2021,6
CLQ21,2021-08,2021-07-20,2021,7
CLU21,2021-09,2021-08-20,2021,8
CLV21,2021-10,2021-09-21,2021,9
CLX21,2021-11,2021-10-20,2021,10
CLZ21,2021-12,2021-11-19,2021,11
CLF22,2022-01,2021-12-20,2021,12
CLG22,2022-02,2022-01-20,2022,1
CLH22,2022-03,2022-02-22,2022,2
CLJ22,2022-04,2022-03-22,2022,3
CLK22,2022-05,2022-04-20,2022,4
CLM22,2022-06,2022-05-20,2022,5
CLN22,2022-07,2022-06-21,2022,6
CLQ22,2022-08,2022-07-20,2022,7
CLU22,2022-09,2022-08-22,2022,8
