contract_code,delivery_month,expiry_date,n_days_with_data,price_source,covid_negative_price,M1M2_pre_baseline,M1M2_pre_vol,M1M2_entry,M1M2_expiry_week_mean,M1M2_expiry_week_end,M1M2_expiry_week_chg,M1M2_expiry_week_chg_pct,M1M2_on_expiry,M1M2_post_1d,M1M2_post_5d,M1M2_post_chg,M1M2_post_chg_pct,roll_compression,roll_reversion
CLG16,2016-02,2016-01-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLH16,2016-03,2016-02-22,0,unavailable,FALSE,,,,,,,,,,,,,,
CLJ16,2016-04,2016-03-21,0,unavailable,FALSE,,,,,,,,,,,,,,
CLK16,2016-05,2016-04-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLM16,2016-06,2016-05-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLN16,2016-07,2016-06-21,0,unavailable,FALSE,,,,,,,,,,,,,,
CLQ16,2016-08,2016-07-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLU16,2016-09,2016-08-22,0,unavailable,FALSE,,,,,,,,,,,,,,
CLV16,2016-10,2016-09-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLX16,2016-11,2016-10-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLZ16,2016-12,2016-11-18,0,unavailable,FALSE,,,,,,,,,,,,,,
CLF17,2017-01,2016-12-19,0,unavailable,FALSE,,,,,,,,,,,,,,
CLG17,2017-02,2017-01-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLH17,2017-03,2017-02-21,0,unavailable,FALSE,,,,,,,,,,,,,,
CLJ17,2017-04,2017-03-21,0,unavailable,FALSE,,,,,,,,,,,,,,
CLK17,2017-05,2017-04-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLM17,2017-06,2017-05-22,0,unavailable,FALSE,,,,,,,,,,,,,,
CLN17,2017-07,2017-06-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLQ17,2017-08,2017-07-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLU17,2017-09,2017-08-22,0,unavailable,FALSE,,,,,,,,,,,,,,
CLV17,2017-10,2017-09-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLX17,2017-11,2017-10-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLZ17,2017-12,2017-11-17,0,unavailable,FALSE,,,,,,,,,,,,,,
CLF18,2018-01,2017-12-18,0,unavailable,FALSE,,,,,,,,,,,,,,
CLG18,2018-02,2018-01-22,0,unavailable,FALSE,,,,,,,,,,,,,,
CLH18,2018-03,2018-02-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLJ18,2018-04,2018-03-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLK18,2018-05,2018-04-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLM18,2018-06,2018-05-22,0,unavailable,FALSE,,,,,,,,,,,,,,
CLN18,2018-07,2018-06-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLQ18,2018-08,2018-07-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLU18,2018-09,2018-08-21,0,unavailable,FALSE,,,,,,,,,,,,,,
CLV18,2018-10,2018-09-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLX18,2018-11,2018-10-22,0,unavailable,FALSE,,,,,,,,,,,,,,
CLZ18,2018-12,2018-11-16,0,unavailable,FALSE,,,,,,,,,,,,,,
CLF19,2019-01,2018-12-18,0,unavailable,FALSE,,,,,,,,,,,,,,
CLG19,2019-02,2019-01-22,0,unavailable,FALSE,,,,,,,,,,,,,,
CLH19,2019-03,2019-02-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLJ19,2019-04,2019-03-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLK19,2019-05,2019-04-22,0,unavailable,FALSE,,,,,,,,,,,,,,
CLM19,2019-06,2019-05-21,0,unavailable,FALSE,,,,,,,,,,,,,,
CLN19,2019-07,2019-06-20,0,unavailable,FALSE,,,,,,,,,,,,,,
CLQ19,2019-08,2019-07-22,0,unavailable,FALSE,,,,,,,,,,,,,,
