test,beta,p_nw
S1_Full,-0.407507674501485,0.0666641733890704
S1_HV,-0.531072065107703,0.0725625197457998
S1_LV,-0.0942904933309826,0.338048106350571
S2_Full,0.251745430973651,0.0295339498848484
S2_HV,0.29943074183509,0.0270345937546656
S2_LV,0.0868633070434592,0.212819280620971
Int_S1_LVbase,-0.0942904933309824,0.462278448669338
Int_S1_HVdiff,-0.436781571776721,0.162119312203764
Int_S2_LVbase,0.065100269283944,0.45337134370085
Int_S2_HVdiff,0.243131330127718,0.131941223590552
Logit_Full,0.220265966703738,0.645878091085921
Logit_HV,0.166708213472068,0.767030012913294
Logit_LV,0.829202627369162,0.454984326729971
