contract_code,expiry_date,trading_date,trading_day_relative,M1M2_daily,M1M2_close,c1_contract,c1_volume,c2_volume,low_c1_volume,price_source,covid_negative_price
CLG16,2016-01-20,2015-12-28,-15,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2015-12-29,-14,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2015-12-30,-13,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2015-12-31,-12,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-04,-11,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-05,-10,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-06,-9,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-07,-8,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-08,-7,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-11,-6,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-12,-5,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-13,-4,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-14,-3,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-15,-2,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-19,-1,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-20,0,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-21,1,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-22,2,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-25,3,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-26,4,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-27,5,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-28,6,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-01-29,7,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-02-01,8,,,,,,FALSE,unavailable,FALSE
CLG16,2016-01-20,2016-02-02,9,,,,,,FALSE,unavailable,FALSE
