date,M1M2,regime_label,window,in_warmup,fair_value,deviation,dev_zscore,signal,model_regime,confidence_score
2021-01-04,-0.124282407407414,Warm-Up,warmup,TRUE,,,,FLAT,,0.7943
2021-01-05,-0.0937692307692259,Warm-Up,warmup,TRUE,,,,FLAT,,0.7956
2021-01-06,-0.0344893832153659,Warm-Up,warmup,TRUE,,,,FLAT,,0.7909
2021-01-07,-0.0355651105651091,Warm-Up,warmup,TRUE,,,,FLAT,,0.7959
2021-01-08,-0.0250384615384647,Warm-Up,warmup,TRUE,,,,FLAT,,0.7615
2021-01-09,0.261071428571427,Warm-Up,warmup,TRUE,,,,FLAT,,0.7148
2021-01-11,-0.013556034482761,Warm-Up,warmup,TRUE,,,,FLAT,,0.7633
2021-01-12,-0.0222751322751407,Warm-Up,warmup,TRUE,,,,FLAT,,0.7992
2021-01-13,-0.0453641456582616,Warm-Up,warmup,TRUE,,,,FLAT,,0.7961
2021-01-14,-0.0438646426312417,Warm-Up,warmup,TRUE,,,,FLAT,,0.7985
2021-01-15,-0.0557008547008593,Warm-Up,warmup,TRUE,,,,FLAT,,0.7958
2021-01-16,-0.0450000000000017,Warm-Up,warmup,TRUE,,,,FLAT,,0.7907
2021-01-18,0.0300000000000011,Warm-Up,warmup,TRUE,,,,FLAT,,0.7805
2021-01-19,-0.023228571428568,Warm-Up,warmup,TRUE,,,,FLAT,,0.7924
2021-01-20,-0.0296790757381231,Warm-Up,warmup,TRUE,,,,FLAT,,0.78
2021-01-21,0.0933119658119637,Warm-Up,warmup,TRUE,,,,FLAT,,0.7793
2021-01-22,0.0826978818283237,Warm-Up,warmup,TRUE,,,,FLAT,,0.7924
2021-01-23,0.0263636363636266,Warm-Up,warmup,TRUE,,,,FLAT,,0.7811
2021-01-25,0.0950675675675683,Warm-Up,warmup,TRUE,,,,FLAT,,0.7891
2021-01-26,0.0847303993004971,Warm-Up,warmup,TRUE,,,,FLAT,,0.794
2021-01-27,0.119875222816404,Warm-Up,warmup,TRUE,,,,FLAT,,0.7924
2021-01-28,0.105876887340308,Warm-Up,warmup,TRUE,,,,FLAT,,0.7993
2021-01-29,0.102982982982986,Warm-Up,warmup,TRUE,,,,FLAT,,0.7754
2021-01-30,-0.0799999999999983,Warm-Up,warmup,TRUE,,,,FLAT,,0.7394
2021-02-01,0.136355421686751,Warm-Up,warmup,TRUE,,,,FLAT,,0.7708
2021-02-02,0.145867446393765,Warm-Up,warmup,TRUE,,,,FLAT,,0.7962
2021-02-03,0.144096638655455,Warm-Up,warmup,TRUE,,,,FLAT,,0.7968
2021-02-04,0.165032558139529,Warm-Up,warmup,TRUE,,,,FLAT,,0.7969
2021-02-05,0.1635015015015,Warm-Up,warmup,TRUE,,,,FLAT,,0.7962
2021-02-06,0.19166666666667,Warm-Up,warmup,TRUE,,,,FLAT,,0.7901
