signal,horizon,regime,ic,n_bars,product
z_long,fwd_ret_1,ALL,-0.0500832113543849,46320,CL
z_long,fwd_ret_1,Stable-Elevated,-0.0499641263499351,3935,CL
z_long,fwd_ret_1,Backwardation-Deficit,-0.0454198419040894,4430,CL
z_long,fwd_ret_1,Transition-Tightening,-0.0686583341521879,1997,CL
z_long,fwd_ret_1,Deep-Backwardation,-0.0219184611020277,8450,CL
z_long,fwd_ret_1,Easing-Backwardation,-0.0434603011269518,11121,CL
z_long,fwd_ret_1,Transition-Loosening,-0.0759740138392652,1996,CL
z_long,fwd_ret_1,Deep-Contango,-0.0923565727519173,6848,CL
z_long,fwd_ret_1,Contango-Surplus,-0.101451018041889,5362,CL
z_long,fwd_ret_1,Easing-Contango,-0.104701268184416,1373,CL
z_long,fwd_ret_1,Stable-Depressed,-0.123558532759542,808,CL
z_long,fwd_ret_4,ALL,-0.0470085063469706,46320,CL
z_long,fwd_ret_4,Stable-Elevated,-0.0298065280319489,3935,CL
z_long,fwd_ret_4,Backwardation-Deficit,-0.0249844139968268,4430,CL
z_long,fwd_ret_4,Transition-Tightening,-0.0833809836377263,1997,CL
z_long,fwd_ret_4,Deep-Backwardation,-0.0221659608325784,8450,CL
z_long,fwd_ret_4,Easing-Backwardation,-0.0442487765092636,11121,CL
z_long,fwd_ret_4,Transition-Loosening,-0.063991834180896,1996,CL
z_long,fwd_ret_4,Deep-Contango,-0.125083495960425,6848,CL
z_long,fwd_ret_4,Contango-Surplus,-0.109629639508749,5362,CL
z_long,fwd_ret_4,Easing-Contango,-0.130208695917168,1373,CL
z_long,fwd_ret_4,Stable-Depressed,-0.151980409578447,808,CL
z_long,fwd_ret_8,ALL,-0.0372820450508748,46320,CL
z_long,fwd_ret_8,Stable-Elevated,0.00222916833743818,3935,CL
z_long,fwd_ret_8,Backwardation-Deficit,-0.0267532412864769,4430,CL
z_long,fwd_ret_8,Transition-Tightening,-0.0881317856746704,1997,CL
z_long,fwd_ret_8,Deep-Backwardation,-0.00623878222512889,8450,CL
z_long,fwd_ret_8,Easing-Backwardation,-0.0330810468989573,11121,CL
z_long,fwd_ret_8,Transition-Loosening,-0.0584502941975509,1996,CL
z_long,fwd_ret_8,Deep-Contango,-0.143005902482848,6848,CL
z_long,fwd_ret_8,Contango-Surplus,-0.116031316778891,5362,CL
z_long,fwd_ret_8,Easing-Contango,-0.115355124706673,1373,CL
z_long,fwd_ret_8,Stable-Depressed,-0.129091447521104,808,CL
z_short,fwd_ret_1,ALL,-0.0800333153980827,46320,CL
z_short,fwd_ret_1,Stable-Elevated,-0.100740706977201,3935,CL
z_short,fwd_ret_1,Backwardation-Deficit,-0.0543797890632999,4430,CL
z_short,fwd_ret_1,Transition-Tightening,-0.0662222151062464,1997,CL
z_short,fwd_ret_1,Deep-Backwardation,-0.0480371581480119,8450,CL
z_short,fwd_ret_1,Easing-Backwardation,-0.0618261663879703,11121,CL
