product,date,regime,tier,spread_target,crude_surprise_mmbbl,surprise_z,driving_season,heating_season,y_actual,y_pred,correct_sign,abs_error,error
CL,2026-03-04,Deep-Backwardation,tier2_physical,m1m2,19496.25,1.277,0,1,2.7194,0.0087,TRUE,2.7106,-2.7106
CL,2026-03-04,Deep-Backwardation,tier2_freight,m1m2,19496.25,1.277,0,1,2.7194,0.0087,TRUE,2.7106,-2.7106
CL,2026-03-04,Deep-Backwardation,tier3_full,m1m2,19496.25,1.277,0,1,2.7194,0.0087,TRUE,2.7106,-2.7106
CL,2026-03-04,Deep-Backwardation,tier2_physical,m2m3,19496.25,1.277,0,1,3.7753,0.0332,TRUE,3.7421,-3.7421
CL,2026-03-04,Deep-Backwardation,tier2_freight,m2m3,19496.25,1.277,0,1,3.7753,0.0332,TRUE,3.7421,-3.7421
CL,2026-03-04,Deep-Backwardation,tier3_full,m2m3,19496.25,1.277,0,1,3.7753,0.004,TRUE,3.7713,-3.7713
CL,2026-03-04,Deep-Backwardation,tier2_physical,m1m6,19496.25,1.277,0,1,12.5078,0.1023,TRUE,12.4056,-12.4056
CL,2026-03-04,Deep-Backwardation,tier2_freight,m1m6,19496.25,1.277,0,1,12.5078,-0.651,FALSE,13.1589,-13.1589
CL,2026-03-04,Deep-Backwardation,tier3_full,m1m6,19496.25,1.277,0,1,12.5078,0.1023,TRUE,12.4056,-12.4056
CL,2026-03-04,Deep-Backwardation,tier2_physical,fly123,19496.25,1.277,0,1,-1.0559,-0.0245,TRUE,1.0314,1.0314
CL,2026-03-04,Deep-Backwardation,tier2_freight,fly123,19496.25,1.277,0,1,-1.0559,-0.0245,TRUE,1.0314,1.0314
CL,2026-03-04,Deep-Backwardation,tier3_full,fly123,19496.25,1.277,0,1,-1.0559,-0.0245,TRUE,1.0314,1.0314
CL,2026-03-04,Deep-Backwardation,tier2_physical,fly136,19496.25,1.277,0,1,0.4815,-0.0184,FALSE,0.4999,-0.4999
CL,2026-03-04,Deep-Backwardation,tier2_freight,fly136,19496.25,1.277,0,1,0.4815,-0.0184,FALSE,0.4999,-0.4999
CL,2026-03-04,Deep-Backwardation,tier3_full,fly136,19496.25,1.277,0,1,0.4815,-0.0184,FALSE,0.4999,-0.4999
CL,2026-03-11,Deep-Backwardation,tier2_physical,m1m2,19114,1.259,0,1,0.7262,0.0087,TRUE,0.7174,-0.7174
CL,2026-03-11,Deep-Backwardation,tier2_freight,m1m2,19114,1.259,0,1,0.7262,0.0087,TRUE,0.7174,-0.7174
CL,2026-03-11,Deep-Backwardation,tier3_full,m1m2,19114,1.259,0,1,0.7262,0.0087,TRUE,0.7174,-0.7174
CL,2026-03-11,Deep-Backwardation,tier2_physical,m2m3,19114,1.259,0,1,1.6931,0.0332,TRUE,1.6599,-1.6599
