product,tier,spread_target,regime,n_events,r2_cv,r2_insample,rmse_bbl,hit_rate,hit_sig,n_sig,oos_hit_rate,oos_n,oos_rmse
CL,tier2_freight,fly123,ALL_REGIMES,269,-0.0155,0,0.1735,0.5576,0.5556,189,0.6667,12,0.8261
CL,tier2_freight,fly123,Backwardation-Deficit,16,-0.1325,9e-04,0.0726,0.5,0.3636,11,,,
CL,tier2_freight,fly123,Deep-Backwardation,70,-0.0604,0,0.197,0.5286,0.5,52,0.6364,11,0.8539
CL,tier2_freight,fly123,Easing-Backwardation,64,-0.0362,0,0.2141,0.5938,0.6304,46,1,1,0.4089
CL,tier2_freight,fly123,Stable-Elevated,49,-0.119,0,0.1036,0.5306,0.4828,29,,,
CL,tier2_freight,fly123,Warm-Up,33,-0.0659,5e-04,0.0654,0.697,0.6786,28,,,
CL,tier2_physical,fly123,ALL_REGIMES,269,-0.0104,0,0.1735,0.5576,0.5556,189,0.6667,12,0.8261
CL,tier2_physical,fly123,Backwardation-Deficit,16,-0.1321,2e-04,0.0727,0.5,0.3636,11,,,
CL,tier2_physical,fly123,Deep-Backwardation,70,-0.0886,0,0.197,0.5286,0.5,52,0.6364,11,0.8539
CL,tier2_physical,fly123,Easing-Backwardation,64,-0.0849,0,0.2141,0.5938,0.6304,46,1,1,0.4089
CL,tier2_physical,fly123,Stable-Elevated,49,-0.0851,0,0.1036,0.5306,0.4828,29,,,
CL,tier2_physical,fly123,Warm-Up,33,-0.1229,7e-04,0.0654,0.697,0.6786,28,,,
CL,tier3_full,fly123,ALL_REGIMES,269,-0.0481,0,0.1735,0.5576,0.5556,189,0.6667,12,0.8261
CL,tier3_full,fly123,Backwardation-Deficit,16,-0.0681,0.0029,0.0726,0.5,0.3636,11,,,
CL,tier3_full,fly123,Deep-Backwardation,70,-0.1225,0,0.197,0.5286,0.5,52,0.6364,11,0.8539
CL,tier3_full,fly123,Easing-Backwardation,64,-0.0475,0,0.2141,0.5938,0.6304,46,1,1,0.4089
CL,tier3_full,fly123,Stable-Elevated,49,-0.2269,0,0.1036,0.5306,0.4828,29,,,
CL,tier3_full,fly123,Warm-Up,33,-0.0096,0.003,0.0653,0.697,0.6786,28,,,
CL,tier2_freight,fly136,ALL_REGIMES,269,-0.0072,0,0.4911,0.5651,0.582,189,0.4167,12,2.4304
CL,tier2_freight,fly136,Backwardation-Deficit,16,-0.1406,0.0149,0.182,0.5,0.5455,11,,,
CL,tier2_freight,fly136,Deep-Backwardation,70,-0.0434,0,0.3839,0.5857,0.5962,52,0.3636,11,2.5194
