product,regime,tier,spread_target,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,alpha_used,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_refinery_util_dev,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_sx_cushing,coef_sx_util,coef_td3c_z52,coef_td3c_wow_ws_z,coef_sx_td3c,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_rig_chg_wow_z,coef_td3c_storage_cost_z,coef_bdi_z52,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_cftc_mm_net_chg_z,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sin_ann,coef_cos_ann,coef_sx_cftc,coef_sx_5yr_dev
CL,Warm-Up,tier2_physical,m1m2,33,1e-04,-0.0475,0.078,0.5152,0.5357,28,0,0.0124816323098896,6.4487925429603e-06,0,0,0,-0.000107882165405893,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,m2m3,33,0.0298,-0.0497,0.0755,0.6667,0.6071,28,0,0.0247469201962898,-0.00192174647117231,0,0,0,-0.00753119687972308,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,m1m6,33,0.0181,-0.0524,0.4978,0.6667,0.6429,28,0,0.155495972078626,0.0131152408611202,0,0,0,-0.0137680283515331,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,fly123,33,7e-04,-0.1229,0.0654,0.697,0.6786,28,0,-0.0197283218721559,4.97489883990606e-05,0,0,0,0.000120342246019882,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,fly136,33,0.0034,-0.0674,0.4085,0.6061,0.6071,28,0,-0.0734086171030594,-0.00187024948616513,0,0,0,0.000712198677607308,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,m1m2,33,1e-04,-0.1359,0.078,0.5152,0.5357,28,0,0.0124816323098896,6.4487925429603e-06,0,0,,-0.000107882165405893,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,m2m3,33,0.0383,-0.0056,0.0752,0.6667,0.6071,28,0,0.0216853469403466,-0.00263929398951603,0,0,,-0.0105482565448499,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,m1m6,33,9e-04,-0.0997,0.5021,0.6667,0.6429,28,0,0.163035399882329,0.000630800522386943,0,0,,-0.000656857090562407,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,fly123,33,5e-04,-0.0659,0.0654,0.697,0.6786,28,0,-0.0197597742760112,3.77091928421918e-05,0,0,,9.12081361867464e-05,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,fly136,33,0.0016,-0.0693,0.4089,0.6061,0.6071,28,0,-0.0733933123978307,-0.000896325450122158,0,0,,0.000340455103528467,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier3_full,m1m2,33,7e-04,-0.0709,0.078,0.5152,0.5357,28,0,0.0124845015782273,2.40548366897283e-06,0,0,0,-3.93675036604062e-05,0,0,0,0,0,0,0,0,0,0,-3.10063887537965e-05,3.48979034501766e-06,0,3.26213264937971e-05,-3.38657864956198e-05,-8.83110998530659e-05,0.00014930211556928,-1.82920761056142e-05,8.01565866432538e-06,-6.72683530259912e-06
CL,Warm-Up,tier3_full,m2m3,33,0.0044,-0.162,0.0765,0.6667,0.6071,28,0,0.0321165024051067,-3.50921991528949e-05,0,0,0,-0.000135688901700127,0,0,0,0,0,0,0,0,0,0,-8.17822548442601e-05,1.86910615541923e-05,0,0.00023600512053895,-0.000188638902994728,-7.25802818079879e-05,7.79255928083636e-05,-0.000182865025700522,-0.000116935388527506,-1.29611634412676e-05
CL,Warm-Up,tier3_full,m1m6,33,0.0023,-0.0767,0.5018,0.6667,0.6429,28,0,0.162708616974116,0.000361387644458609,0,0,0,-0.000382425853989065,0,0,0,0,0,0,0,0,0,0,-0.000149499224508244,1.90499380562089e-06,0,-0.0002286734579556,0.000387961486810637,0.000887341750391862,0.00079707802494168,-0.000123798941200146,0.00120422996244587,0.00024140112775177
CL,Warm-Up,tier3_full,fly123,33,0.003,-0.0096,0.0653,0.697,0.6786,28,0,-0.0196992798450005,2.75448118774926e-05,0,0,0,6.77729521131119e-05,0,0,0,0,0,0,0,0,0,0,3.5077627833854e-05,-1.08664255018362e-05,0,-0.000146218779038137,0.000110955052694583,-1.56990129119034e-05,6.05095612287847e-05,0.000118646865814735,9.17858664235217e-05,4.26389472155971e-06
CL,Warm-Up,tier3_full,fly136,33,0.0034,-0.0604,0.4085,0.6061,0.6071,28,0,-0.0732439800336853,-0.000326653450784665,0,0,0,0.000126379361521672,0,0,0,0,0,0,0,0,0,0,3.45888339117127e-06,2.16383590325845e-05,0,0.000465392195807582,-0.000546205121840367,-0.0008909224037384,-0.000403505936586687,-0.000109172905649595,-0.00108848756449874,-0.000216331059641454
CL,Deep-Backwardation,tier2_physical,m1m2,70,0,-0.0527,0.335,0.4857,0.5192,52,1,0.00874181922679053,-1.61868566597021e-17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,m2m3,70,0,-0.0788,0.2895,0.5429,0.5577,52,1,0.0331967402720492,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,m1m6,70,0,-0.0572,1.2235,0.5286,0.5385,52,1,0.102251193185711,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,fly123,70,0,-0.0886,0.197,0.5286,0.5,52,1,-0.0244549210452587,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,fly136,70,0,-0.026,0.3839,0.5857,0.5962,52,1,-0.0183740741880315,0,0,0,0,-1.92252689814621e-17,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,m1m2,70,0,-0.0776,0.335,0.4857,0.5192,52,1,0.00874181922679053,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,m2m3,70,0,-0.0178,0.2895,0.5429,0.5577,52,1,0.0331967402720492,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,m1m6,70,0.0541,-0.0623,1.1899,0.5571,0.5769,52,1,0.156138455260695,-0.360917595882716,0,0,,0.220758654208133,0,,0.406198346506526,0.193614662386356,-0.533573089818761,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,fly123,70,0,-0.0604,0.197,0.5286,0.5,52,1,-0.0244549210452587,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,fly136,70,0,-0.0434,0.3839,0.5857,0.5962,52,1,-0.0183740741880315,0,0,0,,-1.92252689814621e-17,0,,0,0,0,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier3_full,m1m2,70,0,-0.0558,0.335,0.4857,0.5192,52,1,0.00874181922679057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.93907983305728e-17,0,0,0,0,0
CL,Deep-Backwardation,tier3_full,m2m3,70,0.0435,-0.0143,0.2832,0.5143,0.5385,52,1,0.0660585729004102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157947931422049,0,0,0,-0.0478205520759798,0,0,0,0,0
CL,Deep-Backwardation,tier3_full,m1m6,70,0,-0.0443,1.2235,0.5286,0.5385,52,1,0.102251193185711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Deep-Backwardation,tier3_full,fly123,70,0,-0.1225,0.197,0.5286,0.5,52,1,-0.0244549210452587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21981390643263e-17,0,0,0,0
CL,Deep-Backwardation,tier3_full,fly136,70,0,-0.031,0.3839,0.5857,0.5962,52,1,-0.0183740741880315,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90130130680331e-17,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,tier2_physical,m1m2,64,0,-0.1443,0.2362,0.6094,0.6304,46,1,-0.0361486890346039,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,m2m3,64,0,-0.063,0.192,0.5156,0.4783,46,1,0.0135314640201033,0,0,0,0,7.27999358034491e-19,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,m1m6,64,0,-0.0421,1.0717,0.5469,0.5435,46,1,0.0479606695909171,0,0,0,0,-6.50321988381589e-17,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,fly123,64,0,-0.0849,0.2141,0.5938,0.6304,46,1,-0.0496801530547072,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_physical,fly136,64,0,-0.0518,0.7836,0.5469,0.5435,46,1,-0.0931951196199182,0,0,0,0,7.13269052683632e-17,0,0,,,,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,m1m2,64,0,-0.007,0.2362,0.6094,0.6304,46,1,-0.0361486890346039,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,m2m3,64,0,-0.0183,0.192,0.5156,0.4783,46,1,0.0135314640201033,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,m1m6,64,0,-0.0277,1.0717,0.5469,0.5435,46,1,0.0479606695909171,0,0,0,,-6.50321988381589e-17,0,,0,0,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,fly123,64,0,-0.0362,0.2141,0.5938,0.6304,46,1,-0.0496801530547072,0,0,0,,0,0,,0,4.31228104622019e-17,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier2_freight,fly136,64,0,-0.044,0.7836,0.5469,0.5435,46,1,-0.0931951196199182,0,0,0,,7.13269052683632e-17,0,,0,0,0,,,,,,,,,,,,,,,
CL,Easing-Backwardation,tier3_full,m1m2,64,0,-0.0339,0.2362,0.6094,0.6304,46,1,-0.0361486890346039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,tier3_full,m2m3,64,0,-0.0104,0.192,0.5156,0.4783,46,1,0.0135314640201033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Easing-Backwardation,tier3_full,m1m6,64,0,-0.0427,1.0717,0.5469,0.5435,46,1,0.0479606695909171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
