variant,variant_label,product,spread_target,tier,regime,n_events_oos,hit_rate_oos,rmse,mae,n_events_is,r2_insample,r2_cv,rmse_bbl,hit_rate_is,hit_sig,n_sig,alpha_used
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly123,tier1_baseline,ALL_REGIMES,10,0.6,0.9031,0.7845,206,8e-04,-0.0041,0.1702,0.5485,0.5556,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly123,tier1_baseline,Deep-Backwardation,9,0.5556,0.9431,0.8286,56,0.0034,-0.0151,0.1868,0.5536,0.5577,52,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly123,tier1_baseline,Easing-Backwardation,1,1,0.3879,0.3879,50,2e-04,-0.0206,0.2387,0.62,0.6304,46,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly123,tier1_baseline,ALL_REGIMES,10,0.6,0.9017,0.7833,184,0.0027,-0.0027,0.0697,0.5489,0.5595,168,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly123,tier1_baseline,Deep-Backwardation,9,0.5556,0.9411,0.8257,50,0.051,0.0312,0.1102,0.58,0.587,46,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly123,tier1_baseline,Easing-Backwardation,1,1,0.4014,0.4014,44,0.0512,0.0286,0.0663,0.5909,0.5952,42,
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly123,tier2_freight,ALL_REGIMES,12,0.6667,0.8261,0.6679,269,0,-0.0412,0.1735,0.5576,0.5556,189,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly123,tier2_freight,Deep-Backwardation,11,0.6364,0.8539,0.6914,70,0,-0.2031,0.197,0.5286,0.5,52,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly123,tier2_freight,Easing-Backwardation,1,1,0.4089,0.4089,64,0,-0.1135,0.2141,0.5938,0.6304,46,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly123,tier2_freight,ALL_REGIMES,10,0.6,1.8601,1.2969,206,0,-0.0669,0.1703,0.5485,0.5556,189,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly123,tier2_freight,Deep-Backwardation,9,0.6667,1.8006,1.1823,56,0.1827,0.0161,0.1692,0.6071,0.5962,52,1
v2_ridge_sig,Ridge/Lasso — sig events only,CL,fly123,tier2_freight,Easing-Backwardation,1,0,2.3288,2.3288,50,0.4928,0.0051,0.17,0.66,0.6739,46,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly123,tier2_freight,ALL_REGIMES,10,0.6,1.167,0.9561,206,,,,,,189,
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly123,tier2_freight,Deep-Backwardation,9,0.6667,0.8938,0.7806,56,0.0539,-0.0831,0.182,0.6607,0.6538,52,1
v3_ols_sig,OLS (DOF-guarded) — sig events,CL,fly123,tier2_freight,Easing-Backwardation,1,0,2.5358,2.5358,50,0.5036,0.3029,0.1682,0.7,0.6957,46,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly123,tier2_freight,ALL_REGIMES,10,0.4,1.1658,0.9831,184,,,,,,168,
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly123,tier2_freight,Deep-Backwardation,9,0.4444,0.9447,0.8304,56,0,-0.0363,0.1871,0.5,0.5,52,1
v4_ols_sig_trim,OLS + tail trim (DOF-guarded) — sig events,CL,fly123,tier2_freight,Easing-Backwardation,1,0,2.3575,2.3575,50,0.4949,0.1376,0.1697,0.68,0.6739,46,1
v1_ridge_all,Ridge/Lasso — all events (original),CL,fly123,tier2_physical,ALL_REGIMES,12,0.6667,0.8261,0.6679,269,0.0019,-0.0113,0.1734,0.5576,0.5556,189,1
