product,date,regime,tier,spread_target,surprise_z,y_actual,y_pred,correct_sign,abs_error,error
CL,2026-03-04,Deep-Backwardation,tier2_physical,m1m2,1.277,2.7194,0.0087,TRUE,2.7106,-2.7106
CL,2026-03-04,Deep-Backwardation,tier2_freight,m1m2,1.277,2.7194,0.0087,TRUE,2.7106,-2.7106
CL,2026-03-04,Deep-Backwardation,tier3_full,m1m2,1.277,2.7194,0.0087,TRUE,2.7106,-2.7106
CL,2026-03-04,Deep-Backwardation,tier2_physical,m2m3,1.277,3.7753,-0.0176,FALSE,3.7929,-3.7929
CL,2026-03-04,Deep-Backwardation,tier2_freight,m2m3,1.277,3.7753,-0.1661,FALSE,3.9414,-3.9414
CL,2026-03-04,Deep-Backwardation,tier3_full,m2m3,1.277,3.7753,0.0168,TRUE,3.7585,-3.7585
CL,2026-03-04,Deep-Backwardation,tier2_physical,m1m6,1.277,12.5078,0.1023,TRUE,12.4056,-12.4056
CL,2026-03-04,Deep-Backwardation,tier2_freight,m1m6,1.277,12.5078,0.1023,TRUE,12.4056,-12.4056
CL,2026-03-04,Deep-Backwardation,tier3_full,m1m6,1.277,12.5078,0.1023,TRUE,12.4056,-12.4056
CL,2026-03-04,Deep-Backwardation,tier2_physical,fly123,1.277,-1.0559,-0.0245,TRUE,1.0314,1.0314
CL,2026-03-04,Deep-Backwardation,tier2_freight,fly123,1.277,-1.0559,-0.0245,TRUE,1.0314,1.0314
CL,2026-03-04,Deep-Backwardation,tier3_full,fly123,1.277,-1.0559,-0.0245,TRUE,1.0314,1.0314
CL,2026-03-04,Deep-Backwardation,tier2_physical,fly136,1.277,0.4815,-0.0184,FALSE,0.4999,-0.4999
CL,2026-03-04,Deep-Backwardation,tier2_freight,fly136,1.277,0.4815,0.0099,TRUE,0.4716,-0.4716
CL,2026-03-04,Deep-Backwardation,tier3_full,fly136,1.277,0.4815,-0.0184,FALSE,0.4999,-0.4999
CL,2026-03-11,Deep-Backwardation,tier2_physical,m1m2,1.259,0.7262,0.0087,TRUE,0.7174,-0.7174
CL,2026-03-11,Deep-Backwardation,tier2_freight,m1m2,1.259,0.7262,0.0087,TRUE,0.7174,-0.7174
CL,2026-03-11,Deep-Backwardation,tier3_full,m1m2,1.259,0.7262,0.0087,TRUE,0.7174,-0.7174
CL,2026-03-11,Deep-Backwardation,tier2_physical,m2m3,1.259,1.6931,-0.0165,FALSE,1.7097,-1.7097
CL,2026-03-11,Deep-Backwardation,tier2_freight,m2m3,1.259,1.6931,-0.1693,FALSE,1.8624,-1.8624
CL,2026-03-11,Deep-Backwardation,tier3_full,m2m3,1.259,1.6931,0.0284,TRUE,1.6647,-1.6647
CL,2026-03-11,Deep-Backwardation,tier2_physical,m1m6,1.259,5.4983,0.1023,TRUE,5.3961,-5.3961
CL,2026-03-11,Deep-Backwardation,tier2_freight,m1m6,1.259,5.4983,0.1023,TRUE,5.3961,-5.3961
CL,2026-03-11,Deep-Backwardation,tier3_full,m1m6,1.259,5.4983,0.1023,TRUE,5.3961,-5.3961
CL,2026-03-11,Deep-Backwardation,tier2_physical,fly123,1.259,-0.967,-0.0245,TRUE,0.9425,0.9425
CL,2026-03-11,Deep-Backwardation,tier2_freight,fly123,1.259,-0.967,-0.0245,TRUE,0.9425,0.9425
CL,2026-03-11,Deep-Backwardation,tier3_full,fly123,1.259,-0.967,-0.0245,TRUE,0.9425,0.9425
CL,2026-03-11,Deep-Backwardation,tier2_physical,fly136,1.259,-0.6598,-0.0184,TRUE,0.6414,0.6414
CL,2026-03-11,Deep-Backwardation,tier2_freight,fly136,1.259,-0.6598,0.0083,FALSE,0.668,0.668
CL,2026-03-11,Deep-Backwardation,tier3_full,fly136,1.259,-0.6598,-0.0184,TRUE,0.6414,0.6414
CL,2026-03-18,Deep-Backwardation,tier2_physical,m1m2,1.557,0.6108,0.0087,TRUE,0.6021,-0.6021
CL,2026-03-18,Deep-Backwardation,tier2_freight,m1m2,1.557,0.6108,0.0087,TRUE,0.6021,-0.6021
CL,2026-03-18,Deep-Backwardation,tier3_full,m1m2,1.557,0.6108,0.0087,TRUE,0.6021,-0.6021
CL,2026-03-18,Deep-Backwardation,tier2_physical,m2m3,1.557,0.1279,-0.034,FALSE,0.1619,-0.1619
