product,date,regime,tier,spread_target,surprise_z,y_actual,y_pred,correct_sign,abs_error,error
CL,2026-03-04,Deep-Backwardation,tier2_physical,m1m2,1.277,2.7194,0.0125,TRUE,2.7069,-2.7069
CL,2026-03-04,Deep-Backwardation,tier2_freight,m1m2,1.277,2.7194,0.3017,TRUE,2.4177,-2.4177
CL,2026-03-04,Deep-Backwardation,tier3_full,m1m2,1.277,2.7194,0.0125,TRUE,2.7069,-2.7069
CL,2026-03-04,Deep-Backwardation,tier2_physical,m2m3,1.277,3.7753,-0.0351,FALSE,3.8103,-3.8103
CL,2026-03-04,Deep-Backwardation,tier2_freight,m2m3,1.277,3.7753,0.0122,TRUE,3.7631,-3.7631
CL,2026-03-04,Deep-Backwardation,tier3_full,m2m3,1.277,3.7753,-0.0104,FALSE,3.7857,-3.7857
CL,2026-03-04,Deep-Backwardation,tier2_physical,m1m6,1.277,12.5078,-0.0691,FALSE,12.5769,-12.5769
CL,2026-03-04,Deep-Backwardation,tier2_freight,m1m6,1.277,12.5078,0.0585,TRUE,12.4494,-12.4494
CL,2026-03-04,Deep-Backwardation,tier3_full,m1m6,1.277,12.5078,-0.0188,FALSE,12.5266,-12.5266
CL,2026-03-04,Deep-Backwardation,tier2_physical,fly123,1.277,-1.0559,3e-04,FALSE,1.0562,1.0562
CL,2026-03-04,Deep-Backwardation,tier2_freight,fly123,1.277,-1.0559,0.6221,FALSE,1.678,1.678
CL,2026-03-04,Deep-Backwardation,tier3_full,fly123,1.277,-1.0559,0.1694,FALSE,1.2253,1.2253
CL,2026-03-04,Deep-Backwardation,tier2_physical,fly136,1.277,0.4815,-0.0091,FALSE,0.4906,-0.4906
CL,2026-03-04,Deep-Backwardation,tier2_freight,fly136,1.277,0.4815,-0.0091,FALSE,0.4906,-0.4906
CL,2026-03-04,Deep-Backwardation,tier3_full,fly136,1.277,0.4815,-0.0091,FALSE,0.4906,-0.4906
CL,2026-03-11,Deep-Backwardation,tier2_physical,m1m2,1.259,0.7262,0.0125,TRUE,0.7137,-0.7137
CL,2026-03-11,Deep-Backwardation,tier2_freight,m1m2,1.259,0.7262,0.2461,TRUE,0.4801,-0.4801
CL,2026-03-11,Deep-Backwardation,tier3_full,m1m2,1.259,0.7262,0.0125,TRUE,0.7137,-0.7137
CL,2026-03-11,Deep-Backwardation,tier2_physical,m2m3,1.259,1.6931,-0.0337,FALSE,1.7268,-1.7268
CL,2026-03-11,Deep-Backwardation,tier2_freight,m2m3,1.259,1.6931,0.0122,TRUE,1.6809,-1.6809
CL,2026-03-11,Deep-Backwardation,tier3_full,m2m3,1.259,1.6931,-0.0104,FALSE,1.7035,-1.7035
CL,2026-03-11,Deep-Backwardation,tier2_physical,m1m6,1.259,5.4983,-0.064,FALSE,5.5623,-5.5623
CL,2026-03-11,Deep-Backwardation,tier2_freight,m1m6,1.259,5.4983,0.0585,TRUE,5.4399,-5.4399
CL,2026-03-11,Deep-Backwardation,tier3_full,m1m6,1.259,5.4983,-0.0188,FALSE,5.5171,-5.5171
