product,date,regime,tier,spread_target,surprise_z,y_actual,y_pred,correct_sign,abs_error,error
CL,2026-03-04,Deep-Backwardation,tier1_baseline,m1m2,1.277,2.7194,-0.0303,FALSE,2.7496,-2.7496
CL,2026-03-04,Deep-Backwardation,tier2_physical,m1m2,1.277,2.7194,-0.0147,FALSE,2.7341,-2.7341
CL,2026-03-04,Deep-Backwardation,tier2_freight,m1m2,1.277,2.7194,0.6961,TRUE,2.0233,-2.0233
CL,2026-03-04,Deep-Backwardation,tier3_full,m1m2,1.277,2.7194,0.0952,TRUE,2.6242,-2.6242
CL,2026-03-04,Deep-Backwardation,tier1_baseline,m2m3,1.277,3.7753,-0.0462,FALSE,3.8214,-3.8214
CL,2026-03-04,Deep-Backwardation,tier2_physical,m2m3,1.277,3.7753,0.0122,TRUE,3.7631,-3.7631
CL,2026-03-04,Deep-Backwardation,tier2_freight,m2m3,1.277,3.7753,-0.0325,FALSE,3.8078,-3.8078
CL,2026-03-04,Deep-Backwardation,tier3_full,m2m3,1.277,3.7753,-0.031,FALSE,3.8063,-3.8063
CL,2026-03-04,Deep-Backwardation,tier1_baseline,m1m6,1.277,12.5078,-0.0982,FALSE,12.6061,-12.6061
CL,2026-03-04,Deep-Backwardation,tier2_physical,m1m6,1.277,12.5078,0.0585,TRUE,12.4494,-12.4494
CL,2026-03-04,Deep-Backwardation,tier2_freight,m1m6,1.277,12.5078,0.4222,TRUE,12.0856,-12.0856
CL,2026-03-04,Deep-Backwardation,tier3_full,m1m6,1.277,12.5078,0.0364,TRUE,12.4715,-12.4715
CL,2026-03-04,Deep-Backwardation,tier1_baseline,fly123,1.277,-1.0559,0.0159,FALSE,1.0718,1.0718
CL,2026-03-04,Deep-Backwardation,tier2_physical,fly123,1.277,-1.0559,3e-04,FALSE,1.0562,1.0562
CL,2026-03-04,Deep-Backwardation,tier2_freight,fly123,1.277,-1.0559,0.1182,FALSE,1.1741,1.1741
CL,2026-03-04,Deep-Backwardation,tier3_full,fly123,1.277,-1.0559,0.1182,FALSE,1.1741,1.1741
CL,2026-03-04,Deep-Backwardation,tier1_baseline,fly136,1.277,0.4815,-0.0546,FALSE,0.5361,-0.5361
CL,2026-03-04,Deep-Backwardation,tier2_physical,fly136,1.277,0.4815,-0.0091,FALSE,0.4906,-0.4906
CL,2026-03-04,Deep-Backwardation,tier2_freight,fly136,1.277,0.4815,0.6993,TRUE,0.2178,0.2178
CL,2026-03-04,Deep-Backwardation,tier3_full,fly136,1.277,0.4815,-0.0091,FALSE,0.4906,-0.4906
CL,2026-03-11,Deep-Backwardation,tier1_baseline,m1m2,1.259,0.7262,-0.0297,FALSE,0.7559,-0.7559
CL,2026-03-11,Deep-Backwardation,tier2_physical,m1m2,1.259,0.7262,-0.0136,FALSE,0.7397,-0.7397
CL,2026-03-11,Deep-Backwardation,tier2_freight,m1m2,1.259,0.7262,0.5302,TRUE,0.1959,-0.1959
CL,2026-03-11,Deep-Backwardation,tier3_full,m1m2,1.259,0.7262,0.0793,TRUE,0.6469,-0.6469
CL,2026-03-11,Deep-Backwardation,tier1_baseline,m2m3,1.259,1.6931,-0.0454,FALSE,1.7385,-1.7385
CL,2026-03-11,Deep-Backwardation,tier2_physical,m2m3,1.259,1.6931,0.0122,TRUE,1.6809,-1.6809
CL,2026-03-11,Deep-Backwardation,tier2_freight,m2m3,1.259,1.6931,-0.0672,FALSE,1.7603,-1.7603
CL,2026-03-11,Deep-Backwardation,tier3_full,m2m3,1.259,1.6931,-0.031,FALSE,1.7241,-1.7241
CL,2026-03-11,Deep-Backwardation,tier1_baseline,m1m6,1.259,5.4983,-0.0962,FALSE,5.5945,-5.5945
CL,2026-03-11,Deep-Backwardation,tier2_physical,m1m6,1.259,5.4983,0.0585,TRUE,5.4399,-5.4399
CL,2026-03-11,Deep-Backwardation,tier2_freight,m1m6,1.259,5.4983,0.1824,TRUE,5.3159,-5.3159
CL,2026-03-11,Deep-Backwardation,tier3_full,m1m6,1.259,5.4983,0.0364,TRUE,5.462,-5.462
CL,2026-03-11,Deep-Backwardation,tier1_baseline,fly123,1.259,-0.967,0.0157,FALSE,0.9827,0.9827
CL,2026-03-11,Deep-Backwardation,tier2_physical,fly123,1.259,-0.967,3e-04,FALSE,0.9673,0.9673
CL,2026-03-11,Deep-Backwardation,tier2_freight,fly123,1.259,-0.967,0.0955,FALSE,1.0625,1.0625
CL,2026-03-11,Deep-Backwardation,tier3_full,fly123,1.259,-0.967,0.0955,FALSE,1.0625,1.0625
CL,2026-03-11,Deep-Backwardation,tier1_baseline,fly136,1.259,-0.6598,-0.054,TRUE,0.6058,0.6058
CL,2026-03-11,Deep-Backwardation,tier2_physical,fly136,1.259,-0.6598,-0.0091,TRUE,0.6506,0.6506
CL,2026-03-11,Deep-Backwardation,tier2_freight,fly136,1.259,-0.6598,0.5632,FALSE,1.2229,1.2229
CL,2026-03-11,Deep-Backwardation,tier3_full,fly136,1.259,-0.6598,-0.0091,TRUE,0.6506,0.6506
CL,2026-03-18,Deep-Backwardation,tier1_baseline,m1m2,1.557,0.6108,-0.039,FALSE,0.6498,-0.6498
CL,2026-03-18,Deep-Backwardation,tier2_physical,m1m2,1.557,0.6108,-0.0334,FALSE,0.6442,-0.6442
CL,2026-03-18,Deep-Backwardation,tier2_freight,m1m2,1.557,0.6108,0.2786,TRUE,0.3323,-0.3323
CL,2026-03-18,Deep-Backwardation,tier3_full,m1m2,1.557,0.6108,0.0613,TRUE,0.5495,-0.5495
CL,2026-03-18,Deep-Backwardation,tier1_baseline,m2m3,1.557,0.1279,-0.0581,FALSE,0.1859,-0.1859
CL,2026-03-18,Deep-Backwardation,tier2_physical,m2m3,1.557,0.1279,0.0122,TRUE,0.1157,-0.1157
CL,2026-03-18,Deep-Backwardation,tier2_freight,m2m3,1.557,0.1279,-0.1807,FALSE,0.3086,-0.3086
CL,2026-03-18,Deep-Backwardation,tier3_full,m2m3,1.557,0.1279,-0.031,FALSE,0.1588,-0.1588
CL,2026-03-18,Deep-Backwardation,tier1_baseline,m1m6,1.557,1.1949,-0.1302,FALSE,1.3251,-1.3251
CL,2026-03-18,Deep-Backwardation,tier2_physical,m1m6,1.557,1.1949,0.0585,TRUE,1.1364,-1.1364
CL,2026-03-18,Deep-Backwardation,tier2_freight,m1m6,1.557,1.1949,-0.3907,FALSE,1.5855,-1.5855
CL,2026-03-18,Deep-Backwardation,tier3_full,m1m6,1.557,1.1949,0.0364,TRUE,1.1585,-1.1585
CL,2026-03-18,Deep-Backwardation,tier1_baseline,fly123,1.557,0.483,0.0191,TRUE,0.4639,-0.4639
CL,2026-03-18,Deep-Backwardation,tier2_physical,fly123,1.557,0.483,3e-04,TRUE,0.4827,-0.4827
CL,2026-03-18,Deep-Backwardation,tier2_freight,fly123,1.557,0.483,0.07,TRUE,0.413,-0.413
CL,2026-03-18,Deep-Backwardation,tier3_full,fly123,1.557,0.483,0.07,TRUE,0.413,-0.413
CL,2026-03-18,Deep-Backwardation,tier1_baseline,fly136,1.557,0.2825,-0.0638,FALSE,0.3463,-0.3463
CL,2026-03-18,Deep-Backwardation,tier2_physical,fly136,1.557,0.2825,-0.0091,FALSE,0.2916,-0.2916
CL,2026-03-18,Deep-Backwardation,tier2_freight,fly136,1.557,0.2825,0.4095,TRUE,0.127,0.127
CL,2026-03-18,Deep-Backwardation,tier3_full,fly136,1.557,0.2825,-0.0091,FALSE,0.2916,-0.2916
CL,2026-03-25,Deep-Backwardation,tier1_baseline,m1m2,2.015,2.6554,-0.0532,FALSE,2.7086,-2.7086
CL,2026-03-25,Deep-Backwardation,tier2_physical,m1m2,2.015,2.6554,-0.0638,FALSE,2.7192,-2.7192
CL,2026-03-25,Deep-Backwardation,tier2_freight,m1m2,2.015,2.6554,1.9282,TRUE,0.7272,-0.7272
CL,2026-03-25,Deep-Backwardation,tier3_full,m1m2,2.015,2.6554,0.2186,TRUE,2.4367,-2.4367
CL,2026-03-25,Deep-Backwardation,tier1_baseline,m2m3,2.015,1.7275,-0.0775,FALSE,1.805,-1.805
CL,2026-03-25,Deep-Backwardation,tier2_physical,m2m3,2.015,1.7275,0.0122,TRUE,1.7153,-1.7153
CL,2026-03-25,Deep-Backwardation,tier2_freight,m2m3,2.015,1.7275,0.1658,TRUE,1.5617,-1.5617
CL,2026-03-25,Deep-Backwardation,tier3_full,m2m3,2.015,1.7275,-0.031,FALSE,1.7585,-1.7585
CL,2026-03-25,Deep-Backwardation,tier1_baseline,m1m6,2.015,6.9189,-0.1825,FALSE,7.1014,-7.1014
CL,2026-03-25,Deep-Backwardation,tier2_physical,m1m6,2.015,6.9189,0.0585,TRUE,6.8605,-6.8605
CL,2026-03-25,Deep-Backwardation,tier2_freight,m1m6,2.015,6.9189,2.014,TRUE,4.9049,-4.9049
CL,2026-03-25,Deep-Backwardation,tier3_full,m1m6,2.015,6.9189,0.0364,TRUE,6.8825,-6.8825
CL,2026-03-25,Deep-Backwardation,tier1_baseline,fly123,2.015,0.9279,0.0243,TRUE,0.9036,-0.9036
CL,2026-03-25,Deep-Backwardation,tier2_physical,fly123,2.015,0.9279,3e-04,TRUE,0.9276,-0.9276
CL,2026-03-25,Deep-Backwardation,tier2_freight,fly123,2.015,0.9279,0.2942,TRUE,0.6336,-0.6336
CL,2026-03-25,Deep-Backwardation,tier3_full,fly123,2.015,0.9279,0.2942,TRUE,0.6336,-0.6336
CL,2026-03-25,Deep-Backwardation,tier1_baseline,fly136,2.015,1.8468,-0.079,FALSE,1.9258,-1.9258
CL,2026-03-25,Deep-Backwardation,tier2_physical,fly136,2.015,1.8468,-0.0091,FALSE,1.8559,-1.8559
CL,2026-03-25,Deep-Backwardation,tier2_freight,fly136,2.015,1.8468,1.7573,TRUE,0.0894,-0.0894
CL,2026-03-25,Deep-Backwardation,tier3_full,fly136,2.015,1.8468,-0.0091,FALSE,1.8559,-1.8559
CL,2026-04-01,Deep-Backwardation,tier1_baseline,m1m2,1.991,5.5075,-0.0525,FALSE,5.56,-5.56
CL,2026-04-01,Deep-Backwardation,tier2_physical,m1m2,1.991,5.5075,-0.0622,FALSE,5.5697,-5.5697
CL,2026-04-01,Deep-Backwardation,tier2_freight,m1m2,1.991,5.5075,2.2607,TRUE,3.2468,-3.2468
CL,2026-04-01,Deep-Backwardation,tier3_full,m1m2,1.991,5.5075,0.2484,TRUE,5.2591,-5.2591
CL,2026-04-01,Deep-Backwardation,tier1_baseline,m2m3,1.991,3.7695,-0.0765,FALSE,3.846,-3.846
CL,2026-04-01,Deep-Backwardation,tier2_physical,m2m3,1.991,3.7695,0.0122,TRUE,3.7573,-3.7573
CL,2026-04-01,Deep-Backwardation,tier2_freight,m2m3,1.991,3.7695,0.2555,TRUE,3.514,-3.514
CL,2026-04-01,Deep-Backwardation,tier3_full,m2m3,1.991,3.7695,0.0732,TRUE,3.6963,-3.6963
CL,2026-04-01,Deep-Backwardation,tier1_baseline,m1m6,1.991,10.7807,-0.1797,FALSE,10.9604,-10.9604
CL,2026-04-01,Deep-Backwardation,tier2_physical,m1m6,1.991,10.7807,0.0585,TRUE,10.7222,-10.7222
CL,2026-04-01,Deep-Backwardation,tier2_freight,m1m6,1.991,10.7807,2.5663,TRUE,8.2144,-8.2144
CL,2026-04-01,Deep-Backwardation,tier3_full,m1m6,1.991,10.7807,0.1015,TRUE,10.6792,-10.6792
CL,2026-04-01,Deep-Backwardation,tier1_baseline,fly123,1.991,1.738,0.024,TRUE,1.714,-1.714
CL,2026-04-01,Deep-Backwardation,tier2_physical,fly123,1.991,1.738,3e-04,TRUE,1.7377,-1.7377
CL,2026-04-01,Deep-Backwardation,tier2_freight,fly123,1.991,1.738,0.3366,TRUE,1.4014,-1.4014
CL,2026-04-01,Deep-Backwardation,tier3_full,fly123,1.991,1.738,0.3366,TRUE,1.4014,-1.4014
CL,2026-04-01,Deep-Backwardation,tier1_baseline,fly136,1.991,7.7733,-0.0782,FALSE,7.8515,-7.8515
CL,2026-04-01,Deep-Backwardation,tier2_physical,fly136,1.991,7.7733,-0.0091,FALSE,7.7824,-7.7824
CL,2026-04-01,Deep-Backwardation,tier2_freight,fly136,1.991,7.7733,2.012,TRUE,5.7613,-5.7613
CL,2026-04-01,Deep-Backwardation,tier3_full,fly136,1.991,7.7733,-0.0091,FALSE,7.7824,-7.7824
CL,2026-04-08,Deep-Backwardation,tier1_baseline,m1m2,2.261,-0.1557,-0.0609,TRUE,0.0948,0.0948
CL,2026-04-08,Deep-Backwardation,tier2_physical,m1m2,2.261,-0.1557,-0.0802,TRUE,0.0755,0.0755
CL,2026-04-08,Deep-Backwardation,tier2_freight,m1m2,2.261,-0.1557,5.8989,FALSE,6.0546,6.0546
CL,2026-04-08,Deep-Backwardation,tier3_full,m1m2,2.261,-0.1557,0.5814,FALSE,0.7371,0.7371
CL,2026-04-08,Deep-Backwardation,tier1_baseline,m2m3,2.261,0.2787,-0.088,FALSE,0.3667,-0.3667
CL,2026-04-08,Deep-Backwardation,tier2_physical,m2m3,2.261,0.2787,0.0122,TRUE,0.2665,-0.2665
CL,2026-04-08,Deep-Backwardation,tier2_freight,m2m3,2.261,0.2787,1.1568,TRUE,0.8781,0.8781
CL,2026-04-08,Deep-Backwardation,tier3_full,m2m3,2.261,0.2787,0.0732,TRUE,0.2056,-0.2056
CL,2026-04-08,Deep-Backwardation,tier1_baseline,m1m6,2.261,-0.233,-0.2106,TRUE,0.0224,0.0224
CL,2026-04-08,Deep-Backwardation,tier2_physical,m1m6,2.261,-0.233,0.0585,FALSE,0.2915,0.2915
CL,2026-04-08,Deep-Backwardation,tier2_freight,m1m6,2.261,-0.233,8.3397,FALSE,8.5727,8.5727
CL,2026-04-08,Deep-Backwardation,tier3_full,m1m6,2.261,-0.233,0.1015,FALSE,0.3345,0.3345
CL,2026-04-08,Deep-Backwardation,tier1_baseline,fly123,2.261,-0.4344,0.0271,FALSE,0.4615,0.4615
CL,2026-04-08,Deep-Backwardation,tier2_physical,fly123,2.261,-0.4344,3e-04,FALSE,0.4347,0.4347
CL,2026-04-08,Deep-Backwardation,tier2_freight,fly123,2.261,-0.4344,0.8114,FALSE,1.2458,1.2458
CL,2026-04-08,Deep-Backwardation,tier3_full,fly123,2.261,-0.4344,0.8114,FALSE,1.2458,1.2458
CL,2026-04-08,Deep-Backwardation,tier1_baseline,fly136,2.261,0.479,-0.0871,FALSE,0.5661,-0.5661
CL,2026-04-08,Deep-Backwardation,tier2_physical,fly136,2.261,0.479,-0.0091,FALSE,0.4881,-0.4881
CL,2026-04-08,Deep-Backwardation,tier2_freight,fly136,2.261,0.479,4.8658,TRUE,4.3868,4.3868
CL,2026-04-08,Deep-Backwardation,tier3_full,fly136,2.261,0.479,-0.0091,FALSE,0.4881,-0.4881
CL,2026-04-15,Deep-Backwardation,tier1_baseline,m1m2,1.568,-1.5769,-0.0393,TRUE,1.5376,1.5376
CL,2026-04-15,Deep-Backwardation,tier2_physical,m1m2,1.568,-1.5769,-0.0341,TRUE,1.5428,1.5428
CL,2026-04-15,Deep-Backwardation,tier2_freight,m1m2,1.568,-1.5769,-4.1341,TRUE,2.5572,-2.5572
CL,2026-04-15,Deep-Backwardation,tier3_full,m1m2,1.568,-1.5769,-0.3373,TRUE,1.2396,1.2396
CL,2026-04-15,Deep-Backwardation,tier1_baseline,m2m3,1.568,-0.375,-0.0585,TRUE,0.3165,0.3165
CL,2026-04-15,Deep-Backwardation,tier2_physical,m2m3,1.568,-0.375,0.0122,FALSE,0.3872,0.3872
CL,2026-04-15,Deep-Backwardation,tier2_freight,m2m3,1.568,-0.375,-1.3273,TRUE,0.9523,-0.9523
CL,2026-04-15,Deep-Backwardation,tier3_full,m2m3,1.568,-0.375,0.0732,FALSE,0.4482,0.4482
CL,2026-04-15,Deep-Backwardation,tier1_baseline,m1m6,1.568,-2.8769,-0.1315,TRUE,2.7454,2.7454
CL,2026-04-15,Deep-Backwardation,tier2_physical,m1m6,1.568,-2.8769,0.0585,FALSE,2.9354,2.9354
CL,2026-04-15,Deep-Backwardation,tier2_freight,m1m6,1.568,-2.8769,-7.5751,TRUE,4.6982,-4.6982
CL,2026-04-15,Deep-Backwardation,tier3_full,m1m6,1.568,-2.8769,0.1015,FALSE,2.9784,2.9784
CL,2026-04-15,Deep-Backwardation,tier1_baseline,fly123,1.568,-1.2019,0.0192,FALSE,1.2211,1.2211
CL,2026-04-15,Deep-Backwardation,tier2_physical,fly123,1.568,-1.2019,3e-04,FALSE,1.2022,1.2022
