product,date,regime,tier,spread_target,surprise_z,y_actual,y_pred,correct_sign,abs_error,error
CL,2026-03-04,Deep-Backwardation,tier1_baseline,m1m2,1.277,2.7194,-0.0025,FALSE,2.7219,-2.7219
CL,2026-03-04,Deep-Backwardation,tier2_physical,m1m2,1.277,2.7194,0.0125,TRUE,2.7069,-2.7069
CL,2026-03-04,Deep-Backwardation,tier2_freight,m1m2,1.277,2.7194,0.6944,TRUE,2.025,-2.025
CL,2026-03-04,Deep-Backwardation,tier3_full,m1m2,1.277,2.7194,0.0125,TRUE,2.7069,-2.7069
CL,2026-03-04,Deep-Backwardation,tier1_baseline,m2m3,1.277,3.7753,-0.0028,FALSE,3.7781,-3.7781
CL,2026-03-04,Deep-Backwardation,tier2_physical,m2m3,1.277,3.7753,-0.0321,FALSE,3.8074,-3.8074
CL,2026-03-04,Deep-Backwardation,tier2_freight,m2m3,1.277,3.7753,-0.0844,FALSE,3.8597,-3.8597
CL,2026-03-04,Deep-Backwardation,tier3_full,m2m3,1.277,3.7753,-0.031,FALSE,3.8063,-3.8063
CL,2026-03-04,Deep-Backwardation,tier1_baseline,m1m6,1.277,12.5078,-0.0452,FALSE,12.553,-12.553
CL,2026-03-04,Deep-Backwardation,tier2_physical,m1m6,1.277,12.5078,-0.0691,FALSE,12.5769,-12.5769
CL,2026-03-04,Deep-Backwardation,tier2_freight,m1m6,1.277,12.5078,0.4502,TRUE,12.0576,-12.0576
CL,2026-03-04,Deep-Backwardation,tier3_full,m1m6,1.277,12.5078,-0.034,FALSE,12.5418,-12.5418
CL,2026-03-04,Deep-Backwardation,tier1_baseline,fly123,1.277,-1.0559,0.0307,FALSE,1.0866,1.0866
CL,2026-03-04,Deep-Backwardation,tier2_physical,fly123,1.277,-1.0559,3e-04,FALSE,1.0562,1.0562
CL,2026-03-04,Deep-Backwardation,tier2_freight,fly123,1.277,-1.0559,3e-04,FALSE,1.0562,1.0562
CL,2026-03-04,Deep-Backwardation,tier3_full,fly123,1.277,-1.0559,0.1182,FALSE,1.1741,1.1741
CL,2026-03-04,Deep-Backwardation,tier1_baseline,fly136,1.277,0.4815,-0.0558,FALSE,0.5373,-0.5373
CL,2026-03-04,Deep-Backwardation,tier2_physical,fly136,1.277,0.4815,-0.0091,FALSE,0.4906,-0.4906
CL,2026-03-04,Deep-Backwardation,tier2_freight,fly136,1.277,0.4815,-0.0091,FALSE,0.4906,-0.4906
CL,2026-03-04,Deep-Backwardation,tier3_full,fly136,1.277,0.4815,-0.0091,FALSE,0.4906,-0.4906
CL,2026-03-11,Deep-Backwardation,tier1_baseline,m1m2,1.259,0.7262,-0.0023,FALSE,0.7285,-0.7285
CL,2026-03-11,Deep-Backwardation,tier2_physical,m1m2,1.259,0.7262,0.0125,TRUE,0.7137,-0.7137
CL,2026-03-11,Deep-Backwardation,tier2_freight,m1m2,1.259,0.7262,0.5274,TRUE,0.1988,-0.1988
CL,2026-03-11,Deep-Backwardation,tier3_full,m1m2,1.259,0.7262,0.0125,TRUE,0.7137,-0.7137
CL,2026-03-11,Deep-Backwardation,tier1_baseline,m2m3,1.259,1.6931,-0.0024,FALSE,1.6955,-1.6955
CL,2026-03-11,Deep-Backwardation,tier2_physical,m2m3,1.259,1.6931,-0.0309,FALSE,1.724,-1.724
CL,2026-03-11,Deep-Backwardation,tier2_freight,m2m3,1.259,1.6931,-0.1169,FALSE,1.81,-1.81
CL,2026-03-11,Deep-Backwardation,tier3_full,m2m3,1.259,1.6931,-0.031,FALSE,1.7241,-1.7241
CL,2026-03-11,Deep-Backwardation,tier1_baseline,m1m6,1.259,5.4983,-0.0425,FALSE,5.5408,-5.5408
CL,2026-03-11,Deep-Backwardation,tier2_physical,m1m6,1.259,5.4983,-0.064,FALSE,5.5623,-5.5623
