product,tier,spread_target,regime,estimator,n_events,r2_cv,r2_insample,rmse_bbl,hit_rate,hit_sig,n_sig,oos_hit_rate,oos_n,oos_rmse
CL,tier2_freight,fly123,ALL_REGIMES,Lasso,269,-0.0412,0,0.1735,0.5576,0.5556,189,0.6667,12,0.8261
CL,tier2_freight,fly123,Backwardation-Deficit,Ridge,16,-0.2387,0.001,0.0726,0.5,0.3636,11,,,
CL,tier2_freight,fly123,Deep-Backwardation,Lasso,70,-0.2031,0,0.197,0.5286,0.5,52,0.6364,11,0.8539
CL,tier2_freight,fly123,Easing-Backwardation,Lasso,64,-0.1135,0,0.2141,0.5938,0.6304,46,1,1,0.4089
CL,tier2_freight,fly123,Stable-Elevated,Lasso,49,-0.1158,0,0.1036,0.5306,0.4828,29,,,
CL,tier2_freight,fly123,Warm-Up,Ridge,33,-0.0121,5e-04,0.0654,0.697,0.6786,28,,,
CL,tier2_physical,fly123,ALL_REGIMES,Lasso,269,-0.0113,0.0019,0.1734,0.5576,0.5556,189,0.6667,12,0.8261
CL,tier2_physical,fly123,Backwardation-Deficit,Ridge,16,-0.3985,2e-04,0.0727,0.5,0.3636,11,,,
CL,tier2_physical,fly123,Deep-Backwardation,Lasso,70,-0.0584,0,0.197,0.5286,0.5,52,0.6364,11,0.8539
CL,tier2_physical,fly123,Easing-Backwardation,Lasso,64,-0.0683,0,0.2141,0.5938,0.6304,46,1,1,0.4089
CL,tier2_physical,fly123,Stable-Elevated,Lasso,49,-0.0613,0,0.1036,0.5306,0.4828,29,,,
CL,tier2_physical,fly123,Warm-Up,Ridge,33,-0.0372,5e-04,0.0654,0.697,0.6786,28,,,
CL,tier3_full,fly123,ALL_REGIMES,Lasso,269,-0.0097,0,0.1735,0.5576,0.5556,189,0.6667,12,0.8261
CL,tier3_full,fly123,Backwardation-Deficit,Ridge,16,-0.2758,0.0029,0.0726,0.5,0.3636,11,,,
CL,tier3_full,fly123,Deep-Backwardation,Lasso,70,-0.0398,0,0.197,0.5286,0.5,52,0.6364,11,0.8539
CL,tier3_full,fly123,Easing-Backwardation,Lasso,64,-0.0319,0,0.2141,0.5938,0.6304,46,1,1,0.4089
CL,tier3_full,fly123,Stable-Elevated,Lasso,49,-0.1135,0,0.1036,0.5306,0.4828,29,,,
CL,tier3_full,fly123,Warm-Up,Ridge,33,-0.1236,0.0022,0.0653,0.697,0.6786,28,,,
CL,tier2_freight,fly136,ALL_REGIMES,Lasso,269,-0.0111,0,0.4911,0.5651,0.582,189,0.8333,12,2.4214
CL,tier2_freight,fly136,Backwardation-Deficit,Ridge,16,-0.1193,0.0018,0.1832,0.5,0.5455,11,,,
CL,tier2_freight,fly136,Deep-Backwardation,Lasso,70,-0.0269,0.0126,0.3814,0.7,0.6923,52,0.8182,11,2.5098
CL,tier2_freight,fly136,Easing-Backwardation,Lasso,64,-0.0249,0,0.7836,0.5469,0.5435,46,1,1,1.0317
