product,tier,spread_target,regime,estimator,n_events,r2_cv,r2_insample,rmse_bbl,hit_rate,hit_sig,n_sig,oos_hit_rate,oos_n,oos_rmse
CL,tier2_freight,fly123,ALL_REGIMES,Lasso,206,-0.0669,0,0.1703,0.5485,0.5556,189,0.6,10,1.8601
CL,tier2_freight,fly123,Deep-Backwardation,Lasso,56,0.0161,0.1827,0.1692,0.6071,0.5962,52,0.6667,9,1.8006
CL,tier2_freight,fly123,Easing-Backwardation,Lasso,50,0.0051,0.4928,0.17,0.66,0.6739,46,0,1,2.3288
CL,tier2_freight,fly123,Stable-Elevated,Ridge,35,-0.0414,9e-04,0.1149,0.4857,0.4828,29,,,
CL,tier2_freight,fly123,Warm-Up,Ridge,29,-0.0305,7e-04,0.0671,0.6897,0.6786,28,,,
CL,tier2_physical,fly123,ALL_REGIMES,Lasso,206,-0.0196,0,0.1703,0.5485,0.5556,189,0.5,10,0.9048
CL,tier2_physical,fly123,Deep-Backwardation,Lasso,56,-0.0628,0,0.1871,0.5,0.5,52,0.4444,9,0.9447
CL,tier2_physical,fly123,Easing-Backwardation,Lasso,50,-0.0774,0,0.2387,0.62,0.6304,46,1,1,0.3941
CL,tier2_physical,fly123,Stable-Elevated,Ridge,35,-0.116,7e-04,0.1149,0.4857,0.4828,29,,,
CL,tier2_physical,fly123,Warm-Up,Ridge,29,-0.0719,5e-04,0.0671,0.6897,0.6786,28,,,
CL,tier3_full,fly123,ALL_REGIMES,Lasso,206,-0.17,0,0.1703,0.5485,0.5556,189,0.7,10,0.8695
CL,tier3_full,fly123,Deep-Backwardation,Lasso,56,-0.0617,0.0743,0.1801,0.6607,0.6538,52,0.6667,9,0.9162
CL,tier3_full,fly123,Easing-Backwardation,Lasso,50,0.1034,0.5174,0.1658,0.66,0.6522,46,1,1,0.0833
CL,tier3_full,fly123,Stable-Elevated,Ridge,35,-0.0735,0.002,0.1148,0.4857,0.4828,29,,,
CL,tier3_full,fly123,Warm-Up,Ridge,29,-0.0402,0.0033,0.0671,0.6897,0.6786,28,,,
CL,tier2_freight,fly136,ALL_REGIMES,Lasso,206,-0.0106,0,0.5244,0.5777,0.582,189,0.4,10,2.6167
CL,tier2_freight,fly136,Deep-Backwardation,Lasso,56,-0.105,0,0.3546,0.5893,0.5962,52,0.3333,9,2.7374
CL,tier2_freight,fly136,Easing-Backwardation,Lasso,50,-0.0525,0,0.8822,0.54,0.5435,46,1,1,1.0164
CL,tier2_freight,fly136,Stable-Elevated,Ridge,35,-0.0189,0.0014,0.1973,0.6,0.5862,29,,,
CL,tier2_freight,fly136,Warm-Up,Ridge,29,-0.1068,0.0029,0.433,0.6207,0.6071,28,,,
CL,tier2_physical,fly136,ALL_REGIMES,Lasso,206,-0.0112,0,0.5244,0.5777,0.582,189,0.4,10,2.6167
CL,tier2_physical,fly136,Deep-Backwardation,Lasso,56,-0.0514,0,0.3546,0.5893,0.5962,52,0.3333,9,2.7374
CL,tier2_physical,fly136,Easing-Backwardation,Lasso,50,-0.0702,0,0.8822,0.54,0.5435,46,1,1,1.0164
CL,tier2_physical,fly136,Stable-Elevated,Ridge,35,0.0228,0.1055,0.1867,0.6,0.5862,29,,,
CL,tier2_physical,fly136,Warm-Up,Ridge,29,-0.0642,7e-04,0.4334,0.6207,0.6071,28,,,
CL,tier3_full,fly136,ALL_REGIMES,Lasso,206,-0.0184,0,0.5244,0.5777,0.582,189,0.4,10,2.6167
CL,tier3_full,fly136,Deep-Backwardation,Lasso,56,-0.0391,0,0.3546,0.5893,0.5962,52,0.3333,9,2.7374
CL,tier3_full,fly136,Easing-Backwardation,Lasso,50,-0.0583,0,0.8822,0.54,0.5435,46,1,1,1.0164
CL,tier3_full,fly136,Stable-Elevated,Ridge,35,-0.0615,0.0306,0.1944,0.6,0.5862,29,,,
CL,tier3_full,fly136,Warm-Up,Ridge,29,-0.081,0.0056,0.4324,0.6207,0.6071,28,,,
CL,tier2_freight,m1m2,ALL_REGIMES,Lasso,206,-0.0093,0,0.2502,0.5,0.4921,189,0.7,10,1.973
CL,tier2_freight,m1m2,Deep-Backwardation,Lasso,56,-0.0108,0.053,0.3202,0.5714,0.5962,52,0.7778,9,2.0186
CL,tier2_freight,m1m2,Easing-Backwardation,Lasso,50,0.0237,0.1041,0.2426,0.66,0.6522,46,0,1,1.502
CL,tier2_freight,m1m2,Stable-Elevated,Ridge,35,-0.1098,0.0439,0.2284,0.6,0.6207,29,,,
CL,tier2_freight,m1m2,Warm-Up,Ridge,29,-0.071,1e-04,0.0808,0.5172,0.5357,28,,,
CL,tier2_physical,m1m2,ALL_REGIMES,Lasso,206,-0.0162,0,0.2502,0.5,0.4921,189,0.8,10,2.2082
CL,tier2_physical,m1m2,Deep-Backwardation,Lasso,56,-0.0416,0,0.329,0.5179,0.5192,52,0.7778,9,2.3123
CL,tier2_physical,m1m2,Easing-Backwardation,Lasso,50,-0.0853,0,0.2563,0.64,0.6304,46,1,1,0.8004
CL,tier2_physical,m1m2,Stable-Elevated,Ridge,35,-0.0967,0.001,0.2335,0.6571,0.6207,29,,,
CL,tier2_physical,m1m2,Warm-Up,Ridge,29,-0.0891,1e-04,0.0808,0.5172,0.5357,28,,,
CL,tier3_full,m1m2,ALL_REGIMES,Lasso,206,0.009,0.0281,0.2467,0.5825,0.5661,189,0.7,10,2.2313
CL,tier3_full,m1m2,Deep-Backwardation,Lasso,56,-0.0573,0,0.329,0.5179,0.5192,52,0.7778,9,2.3123
CL,tier3_full,m1m2,Easing-Backwardation,Lasso,50,-0.0402,0.0968,0.2436,0.62,0.6087,46,0,1,1.2902
CL,tier3_full,m1m2,Stable-Elevated,Ridge,35,-0.0212,0.0282,0.2303,0.7143,0.6897,29,,,
CL,tier3_full,m1m2,Warm-Up,Ridge,29,-0.1093,9e-04,0.0807,0.5172,0.5357,28,,,
CL,tier2_freight,m1m6,ALL_REGIMES,Lasso,206,-0.0041,0,0.9994,0.5728,0.5661,189,0.8,10,6.0406
CL,tier2_freight,m1m6,Deep-Backwardation,Lasso,56,-0.0428,0,1.2462,0.5357,0.5385,52,0.7778,9,6.3516
CL,tier2_freight,m1m6,Easing-Backwardation,Lasso,50,-0.0348,0.0134,1.1746,0.52,0.5,46,1,1,1.3413
CL,tier2_freight,m1m6,Stable-Elevated,Ridge,35,-0.0875,0.0015,0.8822,0.6571,0.6207,29,,,
CL,tier2_freight,m1m6,Warm-Up,Ridge,29,-0.0711,9e-04,0.534,0.6552,0.6429,28,,,
CL,tier2_physical,m1m6,ALL_REGIMES,Lasso,206,-0.013,0,0.9994,0.5728,0.5661,189,0.3,10,6.1538
CL,tier2_physical,m1m6,Deep-Backwardation,Lasso,56,-6e-04,0.0396,1.2213,0.5714,0.5577,52,0.3333,9,6.47
CL,tier2_physical,m1m6,Easing-Backwardation,Lasso,50,-0.0464,0,1.1826,0.54,0.5435,46,0,1,1.397
CL,tier2_physical,m1m6,Stable-Elevated,Ridge,35,-0.0954,4e-04,0.8826,0.6571,0.6207,29,,,
CL,tier2_physical,m1m6,Warm-Up,Ridge,29,-0.0297,7e-04,0.534,0.6552,0.6429,28,,,
CL,tier3_full,m1m6,ALL_REGIMES,Lasso,206,-0.0169,0,0.9994,0.5728,0.5661,189,0.3,10,6.0489
CL,tier3_full,m1m6,Deep-Backwardation,Lasso,56,-0.0117,0.0407,1.2206,0.5893,0.5962,52,0.3333,9,6.3591
CL,tier3_full,m1m6,Easing-Backwardation,Lasso,50,-0.132,0,1.1826,0.54,0.5435,46,0,1,1.397
CL,tier3_full,m1m6,Stable-Elevated,Ridge,35,-0.0406,0.0016,0.8821,0.6571,0.6207,29,,,
CL,tier3_full,m1m6,Warm-Up,Ridge,29,-0.1206,0.0028,0.5335,0.6552,0.6429,28,,,
CL,tier2_freight,m2m3,ALL_REGIMES,Lasso,206,-0.0191,0,0.2191,0.568,0.5503,189,0.8,10,1.8631
CL,tier2_freight,m2m3,Deep-Backwardation,Lasso,56,-0.1027,0,0.2978,0.5536,0.5577,52,0.8889,9,1.9592
CL,tier2_freight,m2m3,Easing-Backwardation,Lasso,50,-0.0437,0,0.2093,0.5,0.4783,46,0,1,0.4063
CL,tier2_freight,m2m3,Stable-Elevated,Ridge,35,-0.0344,0.0054,0.243,0.6571,0.6207,29,,,
CL,tier2_freight,m2m3,Warm-Up,Ridge,29,-0.0614,0.0146,0.081,0.6207,0.6071,28,,,
CL,tier2_physical,m2m3,ALL_REGIMES,Lasso,206,-0.0351,0,0.2191,0.568,0.5503,189,0.2,10,1.906
CL,tier2_physical,m2m3,Deep-Backwardation,Lasso,56,-0.0907,0.0541,0.2896,0.5893,0.5769,52,0.2222,9,2.0045
CL,tier2_physical,m2m3,Easing-Backwardation,Lasso,50,-0.1015,0,0.2093,0.5,0.4783,46,0,1,0.4063
CL,tier2_physical,m2m3,Stable-Elevated,Ridge,35,-0.0768,4e-04,0.2436,0.6571,0.6207,29,,,
CL,tier2_physical,m2m3,Warm-Up,Ridge,29,-0.0311,0.0168,0.0809,0.6207,0.6071,28,,,
CL,tier3_full,m2m3,ALL_REGIMES,Lasso,206,0.0044,0.0091,0.2181,0.568,0.5503,189,0.4,10,1.8621
CL,tier3_full,m2m3,Deep-Backwardation,Lasso,56,-0.0239,0.0491,0.2904,0.6071,0.6154,52,0.4444,9,1.9582
