product,tier,spread_target,regime,estimator,n_events,r2_cv,r2_insample,rmse_bbl,hit_rate,hit_sig,n_sig,oos_hit_rate,oos_n,oos_rmse
CL,tier1_baseline,fly123,ALL_REGIMES,OLS,206,-0.0041,8e-04,0.1702,0.5485,0.5556,189,0.6,10,0.9031
CL,tier1_baseline,fly123,Deep-Backwardation,OLS,56,-0.0151,0.0034,0.1868,0.5536,0.5577,52,0.5556,9,0.9431
CL,tier1_baseline,fly123,Easing-Backwardation,OLS,50,-0.0206,2e-04,0.2387,0.62,0.6304,46,1,1,0.3879
CL,tier1_baseline,fly123,Stable-Elevated,OLS,35,-0.0085,0.0211,0.1137,0.6571,0.6897,29,,,
CL,tier2_freight,fly123,ALL_REGIMES,OLS,206,,,,,,189,0.6,10,1.167
CL,tier2_freight,fly123,Deep-Backwardation,Lasso,56,-0.0831,0.0539,0.182,0.6607,0.6538,52,0.6667,9,0.8938
CL,tier2_freight,fly123,Easing-Backwardation,Lasso,50,0.3029,0.5036,0.1682,0.7,0.6957,46,0,1,2.5358
CL,tier2_freight,fly123,Stable-Elevated,Ridge,35,-0.0593,9e-04,0.1149,0.4857,0.4828,29,,,
CL,tier2_freight,fly123,Warm-Up,Ridge,29,-0.0512,0.0012,0.0671,0.6897,0.6786,28,,,
CL,tier2_physical,fly123,ALL_REGIMES,OLS,206,,,,,,189,0.5,10,0.9048
CL,tier2_physical,fly123,Deep-Backwardation,Lasso,56,-0.0855,0,0.1871,0.5,0.5,52,0.4444,9,0.9447
CL,tier2_physical,fly123,Easing-Backwardation,Lasso,50,-0.0335,0,0.2387,0.62,0.6304,46,1,1,0.3941
CL,tier2_physical,fly123,Stable-Elevated,Ridge,35,-0.1195,7e-04,0.1149,0.4857,0.4828,29,,,
CL,tier2_physical,fly123,Warm-Up,Ridge,29,-0.1533,5e-04,0.0671,0.6897,0.6786,28,,,
CL,tier3_full,fly123,ALL_REGIMES,Lasso,206,-0.159,0,0.1703,0.5485,0.5556,189,0.7,10,0.8497
CL,tier3_full,fly123,Deep-Backwardation,Lasso,56,0.0178,0.0539,0.182,0.6607,0.6538,52,0.6667,9,0.8938
CL,tier3_full,fly123,Easing-Backwardation,Lasso,50,0.1271,0.5219,0.1651,0.62,0.6087,46,1,1,0.1721
CL,tier3_full,fly123,Stable-Elevated,Ridge,35,-0.0116,0.002,0.1148,0.4857,0.4828,29,,,
CL,tier3_full,fly123,Warm-Up,Ridge,29,-0.0922,0.0023,0.0671,0.6897,0.6786,28,,,
CL,tier1_baseline,fly136,ALL_REGIMES,OLS,206,-0.0048,1e-04,0.5244,0.5777,0.582,189,0.3,10,2.6374
CL,tier1_baseline,fly136,Deep-Backwardation,OLS,56,-0.0104,0.008,0.3532,0.5,0.5,52,0.2222,9,2.7664
CL,tier1_baseline,fly136,Easing-Backwardation,OLS,50,-0.0071,0.0134,0.8763,0.6,0.6087,46,1,1,0.8234
CL,tier1_baseline,fly136,Stable-Elevated,OLS,35,0.0533,0.0811,0.1892,0.6,0.5862,29,,,
CL,tier2_freight,fly136,ALL_REGIMES,OLS,206,,,,,,189,0.9,10,2.4486
CL,tier2_freight,fly136,Deep-Backwardation,Lasso,56,-0.0123,0.0835,0.3395,0.5714,0.5769,52,0.8889,9,2.5588
CL,tier2_freight,fly136,Easing-Backwardation,Lasso,50,-0.0678,0,0.8822,0.54,0.5435,46,1,1,1.0164
CL,tier2_freight,fly136,Stable-Elevated,Ridge,35,-0.0486,0.0014,0.1973,0.6,0.5862,29,,,
CL,tier2_freight,fly136,Warm-Up,Ridge,29,-0.0885,0.0143,0.4305,0.6207,0.6071,28,,,
CL,tier2_physical,fly136,ALL_REGIMES,OLS,206,,,,,,189,0.4,10,2.6167
CL,tier2_physical,fly136,Deep-Backwardation,Lasso,56,-0.0706,0,0.3546,0.5893,0.5962,52,0.3333,9,2.7374
CL,tier2_physical,fly136,Easing-Backwardation,Lasso,50,-0.0611,0,0.8822,0.54,0.5435,46,1,1,1.0164
CL,tier2_physical,fly136,Stable-Elevated,Ridge,35,-0.0352,0.0013,0.1973,0.6,0.5862,29,,,
CL,tier2_physical,fly136,Warm-Up,Ridge,29,-0.078,8e-04,0.4334,0.6207,0.6071,28,,,
CL,tier3_full,fly136,ALL_REGIMES,Lasso,206,-0.0272,0,0.5244,0.5777,0.582,189,0.4,10,2.6167
CL,tier3_full,fly136,Deep-Backwardation,Lasso,56,-0.0494,0,0.3546,0.5893,0.5962,52,0.3333,9,2.7374
CL,tier3_full,fly136,Easing-Backwardation,Lasso,50,-0.0558,0,0.8822,0.54,0.5435,46,1,1,1.0164
CL,tier3_full,fly136,Stable-Elevated,Ridge,35,-0.0537,0.0603,0.1914,0.6,0.5862,29,,,
CL,tier3_full,fly136,Warm-Up,Ridge,29,-0.0977,0.0303,0.427,0.6207,0.6071,28,,,
CL,tier1_baseline,m1m2,ALL_REGIMES,OLS,206,-0.0046,3e-04,0.2502,0.5,0.4921,189,0.4,10,2.2364
CL,tier1_baseline,m1m2,Deep-Backwardation,OLS,56,-0.0102,0.0082,0.3276,0.5,0.5,52,0.3333,9,2.3428
CL,tier1_baseline,m1m2,Easing-Backwardation,OLS,50,-0.0195,0.0014,0.2562,0.64,0.6304,46,1,1,0.7826
CL,tier1_baseline,m1m2,Stable-Elevated,OLS,35,1e-04,0.0295,0.2302,0.5714,0.5862,29,,,
CL,tier2_freight,m1m2,ALL_REGIMES,OLS,206,,,,,,189,0.7,10,2.4774
CL,tier2_freight,m1m2,Deep-Backwardation,Lasso,56,0.0023,0.1685,0.3,0.6071,0.6154,52,0.7778,9,2.5705
CL,tier2_freight,m1m2,Easing-Backwardation,Lasso,50,-0.0526,0.0956,0.2438,0.62,0.6087,46,0,1,1.3809
CL,tier2_freight,m1m2,Stable-Elevated,Ridge,35,-0.0975,0.0011,0.2335,0.6571,0.6207,29,,,
CL,tier2_freight,m1m2,Warm-Up,Ridge,29,-0.0881,1e-04,0.0808,0.5172,0.5357,28,,,
CL,tier2_physical,m1m2,ALL_REGIMES,OLS,206,,,,,,189,0.4,10,2.238
CL,tier2_physical,m1m2,Deep-Backwardation,Lasso,56,-0.0804,0.0467,0.3212,0.5893,0.5769,52,0.3333,9,2.3439
CL,tier2_physical,m1m2,Easing-Backwardation,Lasso,50,-0.2125,0,0.2563,0.64,0.6304,46,1,1,0.8004
CL,tier2_physical,m1m2,Stable-Elevated,Ridge,35,-0.062,0.0253,0.2307,0.6857,0.6552,29,,,
CL,tier2_physical,m1m2,Warm-Up,Ridge,29,-0.051,1e-04,0.0808,0.5172,0.5357,28,,,
CL,tier3_full,m1m2,ALL_REGIMES,Lasso,206,-0.0104,0,0.2502,0.5,0.4921,189,0.7,10,2.1289
CL,tier3_full,m1m2,Deep-Backwardation,Lasso,56,-0.0205,0.0171,0.3262,0.5536,0.5577,52,0.7778,9,2.1961
CL,tier3_full,m1m2,Easing-Backwardation,Lasso,50,0.0158,0.114,0.2413,0.62,0.6087,46,0,1,1.3849
CL,tier3_full,m1m2,Stable-Elevated,Ridge,35,-0.0694,0.0124,0.2322,0.6571,0.6207,29,,,
CL,tier3_full,m1m2,Warm-Up,Ridge,29,-0.0595,9e-04,0.0807,0.5172,0.5357,28,,,
CL,tier1_baseline,m1m6,ALL_REGIMES,OLS,206,-0.0043,6e-04,0.9991,0.5728,0.5661,189,0.3,10,6.1537
CL,tier1_baseline,m1m6,Deep-Backwardation,OLS,56,-0.0107,0.0077,1.2415,0.5893,0.5962,52,0.3333,9,6.4665
CL,tier1_baseline,m1m6,Easing-Backwardation,OLS,50,-0.0171,0.0036,1.1805,0.48,0.4565,46,0,1,1.5313
CL,tier1_baseline,m1m6,Stable-Elevated,OLS,35,-0.0237,0.0064,0.88,0.6,0.5517,29,,,
CL,tier2_freight,m1m6,ALL_REGIMES,OLS,206,,,,,,189,0.6,10,6.1044
CL,tier2_freight,m1m6,Deep-Backwardation,Lasso,56,-0.0184,0.0738,1.1994,0.5714,0.5577,52,0.6667,9,6.4177
CL,tier2_freight,m1m6,Easing-Backwardation,Lasso,50,-0.0573,0,1.1826,0.54,0.5435,46,0,1,1.397
CL,tier2_freight,m1m6,Stable-Elevated,Ridge,35,-0.0562,0.0012,0.8823,0.6571,0.6207,29,,,
CL,tier2_freight,m1m6,Warm-Up,Ridge,29,-0.1804,7e-04,0.534,0.6552,0.6429,28,,,
CL,tier2_physical,m1m6,ALL_REGIMES,OLS,206,,,,,,189,0.7,10,6.0419
CL,tier2_physical,m1m6,Deep-Backwardation,Lasso,56,-0.0717,0,1.2462,0.5357,0.5385,52,0.7778,9,6.3516
CL,tier2_physical,m1m6,Easing-Backwardation,Lasso,50,-0.12,0,1.1826,0.54,0.5435,46,0,1,1.397
CL,tier2_physical,m1m6,Stable-Elevated,Ridge,35,-0.0804,4e-04,0.8826,0.6571,0.6207,29,,,
CL,tier2_physical,m1m6,Warm-Up,Ridge,29,-0.0926,0.0204,0.5288,0.6552,0.6429,28,,,
CL,tier3_full,m1m6,ALL_REGIMES,Lasso,206,-0.0125,0,0.9994,0.5728,0.5661,189,0.7,10,6.0437
CL,tier3_full,m1m6,Deep-Backwardation,Lasso,56,-0.0057,0.0132,1.238,0.5357,0.5385,52,0.7778,9,6.3535
CL,tier3_full,m1m6,Easing-Backwardation,Lasso,50,-0.0931,0,1.1826,0.54,0.5435,46,0,1,1.397
CL,tier3_full,m1m6,Stable-Elevated,Ridge,35,-0.0501,0.0016,0.8821,0.6571,0.6207,29,,,
CL,tier3_full,m1m6,Warm-Up,Ridge,29,-0.0373,0.0025,0.5335,0.6552,0.6429,28,,,
CL,tier1_baseline,m2m3,ALL_REGIMES,OLS,206,-0.003,0.0019,0.2189,0.5534,0.5344,189,0.3,10,1.9065
CL,tier1_baseline,m2m3,Deep-Backwardation,OLS,56,4e-04,0.0186,0.295,0.6071,0.6154,52,0.2222,9,2.0053
CL,tier1_baseline,m2m3,Easing-Backwardation,OLS,50,-0.02,9e-04,0.2092,0.5,0.4783,46,1,1,0.3947
CL,tier1_baseline,m2m3,Stable-Elevated,OLS,35,-0.0208,0.0092,0.2425,0.6286,0.5862,29,,,
CL,tier2_freight,m2m3,ALL_REGIMES,OLS,206,,,,,,189,0.6,10,1.8578
CL,tier2_freight,m2m3,Deep-Backwardation,Lasso,56,-0.0126,0.0794,0.2857,0.625,0.6154,52,0.6667,9,1.9536
CL,tier2_freight,m2m3,Easing-Backwardation,Lasso,50,-0.0392,0,0.2093,0.5,0.4783,46,0,1,0.4063
CL,tier2_freight,m2m3,Stable-Elevated,Ridge,35,-0.0319,0.001,0.2435,0.6571,0.6207,29,,,
CL,tier2_freight,m2m3,Warm-Up,Ridge,29,-0.0578,0.0445,0.0798,0.6207,0.6071,28,,,
CL,tier2_physical,m2m3,ALL_REGIMES,OLS,206,,,,,,189,0.8,10,1.8631
CL,tier2_physical,m2m3,Deep-Backwardation,Lasso,56,-0.0855,0,0.2978,0.5536,0.5577,52,0.8889,9,1.9592
CL,tier2_physical,m2m3,Easing-Backwardation,Lasso,50,-0.0682,0,0.2093,0.5,0.4783,46,0,1,0.4063
CL,tier2_physical,m2m3,Stable-Elevated,Ridge,35,-0.0698,4e-04,0.2436,0.6571,0.6207,29,,,
CL,tier2_physical,m2m3,Warm-Up,Ridge,29,-0.024,6e-04,0.0816,0.6207,0.6071,28,,,
CL,tier3_full,m2m3,ALL_REGIMES,Lasso,206,-0.0266,0,0.2191,0.568,0.5503,189,0.4,10,1.8663
CL,tier3_full,m2m3,Deep-Backwardation,Lasso,56,0.0168,0.0725,0.2868,0.6071,0.6154,52,0.4444,9,1.9626
CL,tier3_full,m2m3,Easing-Backwardation,Lasso,50,-0.0541,0,0.2093,0.5,0.4783,46,0,1,0.4063
CL,tier3_full,m2m3,Stable-Elevated,Ridge,35,-0.0942,0.0016,0.2435,0.6571,0.6207,29,,,
CL,tier3_full,m2m3,Warm-Up,Ridge,29,0.0189,0.1191,0.0766,0.6207,0.6071,28,,,
