product,regime,tier,spread_target,estimator,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,alpha_used,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_refinery_util_dev,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_sx_cushing,coef_sx_util,coef_td3c_z52,coef_td3c_wow_ws_z,coef_sx_td3c,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_rig_chg_wow_z,coef_td3c_storage_cost_z,coef_bdi_z52,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_cftc_mm_net_chg_z,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sin_ann,coef_cos_ann,coef_sx_cftc,coef_sx_5yr_dev
CL,Warm-Up,tier2_physical,m1m2,Ridge,29,1e-04,-0.051,0.0808,0.5172,0.5357,28,0,0.0111540300031334,-8.85652289443574e-06,0,0,0,-0.000114970083893789,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,m2m3,Ridge,29,6e-04,-0.024,0.0816,0.6207,0.6071,28,0,0.0337173889152058,-3.07536378439939e-05,0,0,0,-0.000141789635599835,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,m1m6,Ridge,29,0.0204,-0.0926,0.5288,0.6552,0.6429,28,0,0.166437511715353,0.0134059834006153,0,0,0,-0.0163204034399252,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,fly123,Ridge,29,5e-04,-0.1533,0.0671,0.6897,0.6786,28,0,-0.0224980683186769,2.50509543781377e-05,0,0,0,9.69632566644789e-05,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,fly136,Ridge,29,8e-04,-0.078,0.4334,0.6207,0.6071,28,0,-0.0851154930481571,-0.000393155335622291,0,0,0,0.000203210666831671,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,m1m2,Ridge,29,1e-04,-0.0881,0.0808,0.5172,0.5357,28,0,0.0111540300031334,-8.85652289443574e-06,0,0,,-0.000114970083893789,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,m2m3,Ridge,29,0.0445,-0.0578,0.0798,0.6207,0.6071,28,0,0.0201612267106685,-0.00265681961166812,0,0,,-0.0137480820203077,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,m1m6,Ridge,29,7e-04,-0.1804,0.534,0.6552,0.6429,28,0,0.175082464906143,0.00044107575532001,0,0,,-0.000532434479203631,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,fly123,Ridge,29,0.0012,-0.0512,0.0671,0.6897,0.6786,28,0,-0.0223692912790244,5.74519955634965e-05,0,0,,0.000222595468411085,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,fly136,Ridge,29,0.0143,-0.0885,0.4305,0.6207,0.6071,28,0,-0.0848630687578062,-0.00728406395424702,0,0,,0.00382751736459014,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier3_full,m1m2,Ridge,29,9e-04,-0.0595,0.0807,0.5172,0.5357,28,0,0.0111495491915224,-2.20885302150743e-06,0,0,0,-2.98710300281419e-05,0,0,0,0,0,0,0,0,0,0,-3.74745118399173e-05,3.97431961546808e-06,0,4.67131114409794e-05,-7.99094566784841e-05,-4.9256202700558e-05,0.000148261486361556,-5.90375205168742e-05,-7.36039542581121e-06,-8.32390189035856e-06
CL,Warm-Up,tier3_full,m2m3,Ridge,29,0.1191,0.0189,0.0766,0.6207,0.6071,28,0,0.017976743951083,-0.000471305808761105,0,0,0,-0.00573827735592451,0,0,0,0,0,0,0,0,0,0,-0.00334639776790943,0.000608634431230224,0,0.0069385191597802,-0.0042155658285237,-0.0016509830275364,0.00827176537722153,-0.00683205045560992,-0.00156524235426195,-0.000247624563068123
