product,regime,tier,spread_target,estimator,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,alpha_used,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_refinery_util_dev,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_sx_cushing,coef_sx_util,coef_td3c_z52,coef_td3c_wow_ws_z,coef_sx_td3c,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_rig_chg_wow_z,coef_td3c_storage_cost_z,coef_bdi_z52,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_cftc_mm_net_chg_z,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sin_ann,coef_cos_ann,coef_sx_cftc,coef_sx_5yr_dev
CL,Warm-Up,tier2_physical,m1m2,Ridge,29,1e-04,-0.0667,0.0808,0.5172,0.5357,28,0,0.0111540300031334,-8.85652289443574e-06,0,0,0,-0.000114970083893789,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,m2m3,Ridge,29,0.0157,-0.0947,0.0809,0.6207,0.6071,28,0,0.0300326914072219,-0.0008030255782825,0,0,0,-0.00381170614725551,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,m1m6,Ridge,29,7e-04,-0.0444,0.534,0.6552,0.6429,28,0,0.175082464906143,0.00044107575532001,0,0,0,-0.000532434479203631,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,fly123,Ridge,29,5e-04,-0.0555,0.0671,0.6897,0.6786,28,0,-0.0224980683186769,2.50509543781377e-05,0,0,0,9.69632566644789e-05,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_physical,fly136,Ridge,29,0.0425,-0.0721,0.4243,0.6207,0.6071,28,0,-0.0838777950311992,-0.0231303495430888,0,0,0,0.0126063357196363,0,0,,,,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,m1m2,Ridge,29,1e-04,-0.0319,0.0808,0.5172,0.5357,28,0,0.0111540300031334,-8.85652289443574e-06,0,0,,-0.000114970083893789,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,m2m3,Ridge,29,0.0281,-0.1239,0.0804,0.6207,0.6071,28,0,0.0264445758001943,-0.00151414549651815,0,0,,-0.0074052996228724,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,m1m6,Ridge,29,9e-04,-0.0735,0.534,0.6552,0.6429,28,0,0.175023432234081,0.00053085763450616,0,0,,-0.000640850959552371,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,fly123,Ridge,29,7e-04,-0.1565,0.0671,0.6897,0.6786,28,0,-0.0224662708901308,3.3056658793652e-05,0,0,,0.000127981599977021,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier2_freight,fly136,Ridge,29,7e-04,-0.1127,0.4334,0.6207,0.6071,28,0,-0.0851164948050311,-0.00035833029099893,0,0,,0.000185194992366892,0,,0,0,0,,,,,,,,,,,,,,,
CL,Warm-Up,tier3_full,m1m2,Ridge,29,9e-04,-0.0249,0.0807,0.5172,0.5357,28,0,0.0111495491915224,-2.20885302150743e-06,0,0,0,-2.98710300281419e-05,0,0,0,0,0,0,0,0,0,0,-3.74745118399173e-05,3.97431961546808e-06,0,4.67131114409794e-05,-7.99094566784841e-05,-4.9256202700558e-05,0.000148261486361556,-5.90375205168742e-05,-7.36039542581121e-06,-8.32390189035856e-06
CL,Warm-Up,tier3_full,m2m3,Ridge,29,0.1528,-0.0312,0.0751,0.6552,0.6429,28,0,0.0111340893658382,-0.000543847193362641,0,0,0,-0.0079122193238021,0,0,0,0,0,0,0,0,0,0,-0.00441205274041448,0.000840036835751651,0,0.00886494118992428,-0.00429201045934959,-0.00227262696712427,0.0136561835133545,-0.00886699496196007,-0.00181076375730967,-0.000390364791193464
CL,Warm-Up,tier3_full,m1m6,Ridge,29,0.0025,-0.0408,0.5335,0.6552,0.6429,28,0,0.174747245309418,0.000378828928340829,0,0,0,-0.00046561263695748,0,0,0,0,0,0,0,0,0,0,-0.000174076254041391,-2.98911657601048e-06,0,-0.000351760731336365,0.000542856266964757,0.000956573598463509,0.000798256297294617,-6.19103372599447e-05,0.00126234847385876,0.000241801154406345
CL,Warm-Up,tier3_full,fly123,Ridge,29,0.0039,-0.0411,0.067,0.6897,0.6786,28,0,-0.0222981873851543,3.37420410229761e-05,0,0,0,0.000135126852908499,0,0,0,0,0,0,0,0,0,0,5.11996500093641e-05,-1.55830469838132e-05,0,-0.00021707144162651,0.000123406100029003,2.83689490344666e-05,0.00011475083657958,0.000174811150002255,0.000112436240298254,2.37303517182764e-06
CL,Warm-Up,tier3_full,fly136,Ridge,29,0.0087,-0.0877,0.4317,0.6207,0.6071,28,0,-0.0852000410712785,-0.000768297484943959,0,0,0,0.000417345000862238,0,0,0,0,0,0,0,0,0,0,4.45603605028814e-06,5.80216214384125e-05,0,0.00132856265062652,-0.00168068095931827,-0.00206490608225203,-0.00086521808587326,-0.000558561052997951,-0.00256014411356017,-0.000490763171610779
CL,Deep-Backwardation,tier1_baseline,m1m2,OLS,50,0.0025,-0.0183,0.2081,0.54,0.5319,47,,0.0109876946015221,-0.0105768699685922,,,,,,,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier1_baseline,m2m3,OLS,50,0.0214,0.001,0.1594,0.54,0.5319,47,,0.0287838875426881,-0.0247578847491667,,,,,,,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier1_baseline,m1m6,OLS,50,0.0507,0.0309,0.6502,0.5,0.4894,47,,0.147975160414661,-0.151246093090492,,,,,,,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier1_baseline,fly123,OLS,50,0.051,0.0312,0.1102,0.58,0.587,46,,-0.00220084845122847,0.0257431982677917,,,,,,,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier1_baseline,fly136,OLS,50,0.0037,-0.0171,0.1808,0.6,0.6087,46,,-0.0413281463227622,-0.0112944591177424,,,,,,,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,m1m2,Lasso,56,0,-0.0392,0.329,0.5179,0.5192,52,1,0.0124862020122056,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,m2m3,Lasso,56,0.0529,-0.0016,0.2898,0.6071,0.5962,52,1,0.0180805945394597,-0.0714516527355251,0,0,0,0.0512056519997367,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,m1m6,Lasso,56,0.0396,-0.0252,1.2213,0.5714,0.5577,52,1,0.0935011872682031,-0.284502582930099,0,0,0,0.250555535074356,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,fly123,Lasso,56,0,-0.0296,0.1871,0.5,0.5,52,1,0.000304620188743781,0,0,0,0,4.73175666343677e-18,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_physical,fly136,Lasso,56,0,-0.0782,0.3546,0.5893,0.5962,52,1,-0.00912904651432291,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,m1m2,Lasso,56,0.1696,-0.0016,0.2998,0.6071,0.6154,52,1,0.0347511018041938,-0.0725394539713927,0,0,,0.065683218764859,0,,0,0.261673436137405,-0.0382896469358059,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,m2m3,Lasso,56,0.082,-0.0228,0.2853,0.625,0.6154,52,1,0.0152265266089501,-0.108838773460759,0,0,,0.0699447032457499,0,,0.0268023929708979,0.0742167934273709,-0.0705332653239504,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,m1m6,Lasso,56,0.072,-0.0509,1.2005,0.5714,0.5577,52,1,0.0783435342577919,-0.290235751942926,0,0,,0.217512212329179,0,,0,0.405567725643972,-0.152193794959645,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,fly123,Lasso,56,0,-0.0363,0.1871,0.5,0.5,52,1,0.000304620188743782,0,0,0,,0,0,,0,2.58493010762561e-17,0,,,,,,,,,,,,,,,
CL,Deep-Backwardation,tier2_freight,fly136,Lasso,56,0,-0.056,0.3546,0.5893,0.5962,52,1,-0.0091290465143229,0,0,0,,0,0,,0,1.46964576028937e-16,0,,,,,,,,,,,,,,,
