regime,variable,coefficient,active,n_obs,cv_mse,lambda
Deep-Backwardation,sofr,-0.0440603567569376,TRUE,124,0.106712,0.855132946038809
Deep-Backwardation,crude_stocks_kb,0,FALSE,124,0.106712,0.855132946038809
Deep-Backwardation,cushing_stocks_kb,0.00515350682466287,TRUE,124,0.106712,0.855132946038809
Deep-Backwardation,distillate_stocks_kb,0,FALSE,124,0.106712,0.855132946038809
Deep-Backwardation,brent_spot,0.179594157647361,TRUE,124,0.106712,0.855132946038809
Deep-Backwardation,crude_stocks_surprise,0,FALSE,124,0.106712,0.855132946038809
Deep-Backwardation,gasoil_crack_proxy,0,FALSE,124,0.106712,0.855132946038809
Deep-Backwardation,ho_crack_proxy,0,FALSE,124,0.106712,0.855132946038809
Deep-Backwardation,cftc_net_mm_zscore,0,FALSE,124,0.106712,0.855132946038809
Deep-Backwardation,dxy_4wk_chg,0,FALSE,124,0.106712,0.855132946038809
Deep-Backwardation,crude_prod_kbd,0,FALSE,124,0.106712,0.855132946038809
Deep-Backwardation,gasoline_stocks_kb,0,FALSE,124,0.106712,0.855132946038809
Deep-Backwardation,gasoil_crack_dev,0,FALSE,124,0.106712,0.855132946038809
Backwardation-Deficit,sofr,-0.808062664829566,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,crude_stocks_kb,0.302576395568636,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,cushing_stocks_kb,-1.30621716830812,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,distillate_stocks_kb,0.308083974260094,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,brent_spot,0.591608033937542,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,crude_stocks_surprise,-0.0382495726224324,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,gasoil_crack_proxy,-0.140766346744127,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,ho_crack_proxy,-0.0764298740359468,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,cftc_net_mm_zscore,-0.660881272406224,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,dxy_4wk_chg,-0.00557679819665675,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,crude_prod_kbd,-0.0136631335407192,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,gasoline_stocks_kb,-0.444085952623183,TRUE,97,0.029583,0.00182537740811791
Backwardation-Deficit,gasoil_crack_dev,0,FALSE,97,0.029583,0.00182537740811791
Easing-Backwardation,sofr,0,FALSE,180,0.017537,0.992066775508575
Easing-Backwardation,crude_stocks_kb,0,FALSE,180,0.017537,0.992066775508575
Easing-Backwardation,cushing_stocks_kb,0,FALSE,180,0.017537,0.992066775508575
Easing-Backwardation,distillate_stocks_kb,0,FALSE,180,0.017537,0.992066775508575
Easing-Backwardation,brent_spot,0.0640611286683628,TRUE,180,0.017537,0.992066775508575
Easing-Backwardation,crude_stocks_surprise,0,FALSE,180,0.017537,0.992066775508575
Easing-Backwardation,gasoil_crack_proxy,0,FALSE,180,0.017537,0.992066775508575
Easing-Backwardation,ho_crack_proxy,0,FALSE,180,0.017537,0.992066775508575
Easing-Backwardation,cftc_net_mm_zscore,0,FALSE,180,0.017537,0.992066775508575
Easing-Backwardation,dxy_4wk_chg,0,FALSE,180,0.017537,0.992066775508575
Easing-Backwardation,crude_prod_kbd,0,FALSE,180,0.017537,0.992066775508575
Easing-Backwardation,gasoline_stocks_kb,0,FALSE,180,0.017537,0.992066775508575
Easing-Backwardation,gasoil_crack_dev,0,FALSE,180,0.017537,0.992066775508575
Stable-Elevated,sofr,-0.552518666129005,TRUE,94,0.004838,0.000345059520616616
Stable-Elevated,crude_stocks_kb,-0.432988589221532,TRUE,94,0.004838,0.000345059520616616
Stable-Elevated,cushing_stocks_kb,0.0102898062159503,TRUE,94,0.004838,0.000345059520616616
Stable-Elevated,distillate_stocks_kb,0.0174483332438877,TRUE,94,0.004838,0.000345059520616616
Stable-Elevated,brent_spot,0.250099678952799,TRUE,94,0.004838,0.000345059520616616
Stable-Elevated,crude_stocks_surprise,-0.0631178278832271,TRUE,94,0.004838,0.000345059520616616
Stable-Elevated,gasoil_crack_proxy,0,FALSE,94,0.004838,0.000345059520616616
Stable-Elevated,ho_crack_proxy,-0.0991731934475983,TRUE,94,0.004838,0.000345059520616616
Stable-Elevated,cftc_net_mm_zscore,-0.0111295138270036,TRUE,94,0.004838,0.000345059520616616
Stable-Elevated,dxy_4wk_chg,0.0081318515111247,TRUE,94,0.004838,0.000345059520616616
Stable-Elevated,crude_prod_kbd,-7.08344007024552e-05,TRUE,94,0.004838,0.000345059520616616
Stable-Elevated,gasoline_stocks_kb,-0.0983834261984947,TRUE,94,0.004838,0.000345059520616616
Stable-Elevated,gasoil_crack_dev,-0.039983612952448,TRUE,94,0.004838,0.000345059520616616
Contango-Surplus,sofr,0,FALSE,77,0.000778,0.0353099863378191
Contango-Surplus,crude_stocks_kb,0,FALSE,77,0.000778,0.0353099863378191
Contango-Surplus,cushing_stocks_kb,0,FALSE,77,0.000778,0.0353099863378191
Contango-Surplus,distillate_stocks_kb,0,FALSE,77,0.000778,0.0353099863378191
Contango-Surplus,brent_spot,0,FALSE,77,0.000778,0.0353099863378191
Contango-Surplus,crude_stocks_surprise,0,FALSE,77,0.000778,0.0353099863378191
Contango-Surplus,gasoil_crack_proxy,0,FALSE,77,0.000778,0.0353099863378191
Contango-Surplus,ho_crack_proxy,0,FALSE,77,0.000778,0.0353099863378191
Contango-Surplus,cftc_net_mm_zscore,0.00390250679443436,TRUE,77,0.000778,0.0353099863378191
Contango-Surplus,dxy_4wk_chg,0.00813288591655466,TRUE,77,0.000778,0.0353099863378191
Contango-Surplus,crude_prod_kbd,0,FALSE,77,0.000778,0.0353099863378191
Contango-Surplus,gasoline_stocks_kb,0,FALSE,77,0.000778,0.0353099863378191
Contango-Surplus,gasoil_crack_dev,-0.010081035047383,TRUE,77,0.000778,0.0353099863378191
Deep-Contango,sofr,-0.0931480052988032,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,crude_stocks_kb,0.0655504278743843,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,cushing_stocks_kb,0.0862839259796416,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,distillate_stocks_kb,0.127830504916853,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,brent_spot,0.0513315150515314,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,crude_stocks_surprise,-0.137652286679393,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,gasoil_crack_proxy,0.120631099086344,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,ho_crack_proxy,-0.012670420254483,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,cftc_net_mm_zscore,0.00968685948933955,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,dxy_4wk_chg,0.0598717844419917,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,crude_prod_kbd,0.107404246535604,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,gasoline_stocks_kb,0.0364502097399384,TRUE,94,0.001549,2.33477792894033e-05
Deep-Contango,gasoil_crack_dev,-0.0478487877830466,TRUE,94,0.001549,2.33477792894033e-05
