product,spread_target,old_best_tier,old_n,old_hit,old_rmse,old_mae,new_best_tier,new_n,new_hit,new_rmse,new_mae,delta_hit,delta_rmse
CL,fly123,old_t2_physical,63,0.4762,0.3989,0.1913,sfm_t3_structural,63,0.4921,0.3988,0.1927,0.0159,-1e-04
CL,fly136,old_t2_physical,63,0.5079,1.0623,0.3724,sfm_t4_combined,63,0.5238,1.0601,0.3745,0.0159,-0.0022
CL,m1m2,old_t3_full,63,0.6349,0.8914,0.3791,sfm_t3_structural,63,0.5714,0.8285,0.344,-0.0635,-0.0629
CL,m1m6,old_t1_baseline,63,0.4603,2.6458,1.1461,sfm_t4_combined,63,0.4603,2.525,1.2557,0,-0.1208
CL,m2m3,old_t1_baseline,63,0.5397,0.7989,0.3133,sfm_t4_combined,63,0.5714,0.787,0.3724,0.0317,-0.0119
HO,fly123,old_t2_freight,62,0.5806,2.0708,0.9773,sfm_t4_combined,62,0.5806,1.5324,0.6646,0,-0.5384
HO,fly136,old_t3_full,62,0.5323,2.0351,1.1296,sfm_t2_eia_full,62,0.5323,2.0676,1.0825,0,0.0325
HO,m1m2,old_t1_baseline,62,0.5645,1.9118,0.8643,sfm_t4_combined,62,0.629,1.8334,0.8425,0.0645,-0.0784
HO,m1m6,old_t1_baseline,62,0.5323,3.6895,1.7564,sfm_t1_eia_only,62,0.5323,3.6895,1.7564,0,0
HO,m2m3,old_t3_full,62,0.5968,0.915,0.458,sfm_t3_structural,62,0.5968,0.9215,0.4728,0,0.0065
LCO,fly123,old_t3_full,63,0.619,0.4019,0.2177,sfm_t3_structural,63,0.6032,0.2784,0.1715,-0.0158,-0.1235
LCO,fly136,old_t2_freight,63,0.5873,0.7782,0.5051,sfm_t3_structural,63,0.6349,0.5699,0.3478,0.0476,-0.2083
LCO,m1m2,old_t3_full,63,0.6667,0.9513,0.4351,sfm_t3_structural,63,0.6508,0.7224,0.3519,-0.0159,-0.2289
LCO,m1m6,old_t3_full,63,0.6032,2.2759,1.0138,sfm_t4_combined,63,0.6508,2.2805,1.0366,0.0476,0.0046
LCO,m2m3,old_t3_full,63,0.619,0.6468,0.281,sfm_t3_structural,63,0.6349,0.6297,0.286,0.0159,-0.0171
LGO,fly123,old_t2_freight,62,0.5645,1.3522,0.565,sfm_t3_structural,62,0.5323,1.2869,0.5417,-0.0322,-0.0653
LGO,fly136,old_t2_freight,62,0.6129,2.2461,1.0372,sfm_t4_combined,62,0.5161,2.368,1.0036,-0.0968,0.1219
LGO,m1m2,old_t3_full,62,0.6129,1.8452,0.8357,sfm_t3_structural,62,0.5968,1.818,0.8041,-0.0161,-0.0272
LGO,m1m6,old_t1_baseline,62,0.5,4.5362,1.7159,sfm_t3_structural,62,0.5645,4.4526,1.6602,0.0645,-0.0836
LGO,m2m3,old_t3_full,62,0.5,1.2533,0.4868,sfm_t3_structural,62,0.5,1.2537,0.4895,0,4e-04
