product,tier,spread_target,regime,n_test,hit_rate,rmse,mae
CL,old_t3_full,m1m2,Deep-Backwardation,17,0.7059,1.653,1.0861
CL,old_t3_xgb,m1m2,Deep-Backwardation,17,0.7059,1.7223,0.9834
CL,sfm_t4_combined,m1m2,Deep-Backwardation,17,0.6471,1.6847,0.9638
CL,sfm_t4_xgb,m1m2,Deep-Backwardation,17,0.7059,1.7311,0.9884
CL,sfm_t3_structural,m1m2,Deep-Backwardation,17,0.6471,1.6096,0.9486
CL,old_t3_full,m2m3,Deep-Backwardation,17,0.7647,1.3453,0.8155
CL,old_t3_xgb,m2m3,Deep-Backwardation,17,0.7059,1.4583,0.8313
CL,sfm_t4_combined,m2m3,Deep-Backwardation,17,0.7059,1.3951,0.7838
CL,sfm_t4_xgb,m2m3,Deep-Backwardation,17,0.7059,1.457,0.8365
CL,sfm_t3_structural,m2m3,Deep-Backwardation,17,0.7059,1.3302,0.823
CL,old_t3_full,m1m6,Deep-Backwardation,17,0.7059,4.5659,2.9123
CL,old_t3_xgb,m1m6,Deep-Backwardation,17,0.6471,4.7994,3.0209
CL,sfm_t4_combined,m1m6,Deep-Backwardation,17,0.5882,4.6176,2.9052
CL,sfm_t4_xgb,m1m6,Deep-Backwardation,17,0.6471,4.7672,2.9963
CL,sfm_t3_structural,m1m6,Deep-Backwardation,17,0.5882,4.6972,3.4128
CL,old_t3_full,fly123,Deep-Backwardation,17,0.4118,0.6923,0.4865
CL,old_t3_xgb,fly123,Deep-Backwardation,17,0.4118,0.6921,0.4846
CL,sfm_t4_combined,fly123,Deep-Backwardation,17,0.4118,0.6923,0.4864
CL,sfm_t4_xgb,fly123,Deep-Backwardation,17,0.4118,0.6904,0.4841
CL,sfm_t3_structural,fly123,Deep-Backwardation,17,0.4118,0.6922,0.4863
CL,old_t3_full,fly136,Deep-Backwardation,17,0.5294,1.9953,0.9054
CL,old_t3_xgb,fly136,Deep-Backwardation,17,0.5882,2.001,0.904
CL,sfm_t4_combined,fly136,Deep-Backwardation,17,0.5294,1.9955,0.9054
CL,sfm_t4_xgb,fly136,Deep-Backwardation,17,0.4118,2.0012,0.9091
CL,sfm_t3_structural,fly136,Deep-Backwardation,17,0.5294,1.9955,0.9055
CL,old_t3_full,m1m2,Easing-Backwardation,15,0.7333,0.299,0.1887
CL,old_t3_xgb,m1m2,Easing-Backwardation,15,0.7333,0.3078,0.1953
CL,sfm_t4_combined,m1m2,Easing-Backwardation,15,0.7333,0.2998,0.1889
CL,sfm_t4_xgb,m1m2,Easing-Backwardation,15,0.7333,0.3041,0.193
CL,sfm_t3_structural,m1m2,Easing-Backwardation,15,0.7333,0.2977,0.188
CL,old_t3_full,m2m3,Easing-Backwardation,15,0.6,0.2313,0.1522
CL,old_t3_xgb,m2m3,Easing-Backwardation,15,0.5333,0.2287,0.1509
CL,sfm_t4_combined,m2m3,Easing-Backwardation,15,0.4,0.2767,0.1773
CL,sfm_t4_xgb,m2m3,Easing-Backwardation,15,0.4,0.2316,0.1581
CL,sfm_t3_structural,m2m3,Easing-Backwardation,15,0.3333,0.2773,0.1815
CL,old_t3_full,m1m6,Easing-Backwardation,15,0.2667,0.6206,0.4913
CL,old_t3_xgb,m1m6,Easing-Backwardation,15,0.2667,0.6358,0.5113
