product,regime,tier,spread_target,estimator,n_train,r2_insample,rmse_train,hit_train
CL,Deep-Backwardation,old_t3_full,m1m2,ridge,36,0.4193,0.215,0.6667
CL,Deep-Backwardation,old_t3_full,m2m3,ridge,36,0.3598,0.1803,0.6667
CL,Deep-Backwardation,old_t3_full,m1m6,ridge,36,0.3436,0.751,0.75
CL,Deep-Backwardation,old_t3_full,fly123,ridge,36,0.0013,0.1474,0.5556
CL,Deep-Backwardation,old_t3_full,fly136,ridge,36,0.0014,0.2818,0.4722
CL,Deep-Backwardation,old_t3_xgb,m1m2,xgb,56,0.0221,0.3629,0.5179
CL,Deep-Backwardation,old_t3_xgb,m2m3,xgb,56,0.0272,0.3153,0.5357
CL,Deep-Backwardation,old_t3_xgb,m1m6,xgb,56,0.0391,1.3277,0.5357
CL,Deep-Backwardation,old_t3_xgb,fly123,xgb,56,0.0416,0.1955,0.5536
CL,Deep-Backwardation,old_t3_xgb,fly136,xgb,56,0.0269,0.4132,0.5714
CL,Deep-Backwardation,sfm_t4_combined,m1m2,ridge,36,0.2267,0.2482,0.6111
CL,Deep-Backwardation,sfm_t4_combined,m2m3,ridge,36,0.2448,0.1959,0.6389
CL,Deep-Backwardation,sfm_t4_combined,m1m6,ridge,36,0.2466,0.8046,0.7222
CL,Deep-Backwardation,sfm_t4_combined,fly123,ridge,36,0.0027,0.1473,0.5556
CL,Deep-Backwardation,sfm_t4_combined,fly136,ridge,36,0.0025,0.2816,0.4722
CL,Deep-Backwardation,sfm_t4_xgb,m1m2,xgb,56,0.0353,0.3604,0.4643
CL,Deep-Backwardation,sfm_t4_xgb,m2m3,xgb,56,0.0215,0.3162,0.5357
CL,Deep-Backwardation,sfm_t4_xgb,m1m6,xgb,56,0.0174,1.3427,0.5357
CL,Deep-Backwardation,sfm_t4_xgb,fly123,xgb,56,0.0431,0.1953,0.5536
CL,Deep-Backwardation,sfm_t4_xgb,fly136,xgb,56,0.0379,0.4109,0.6429
CL,Deep-Backwardation,sfm_t3_structural,m1m2,ridge,36,0.3932,0.2198,0.6944
CL,Deep-Backwardation,sfm_t3_structural,m2m3,ridge,36,0.4863,0.1616,0.6667
CL,Deep-Backwardation,sfm_t3_structural,m1m6,ridge,36,0.6291,0.5645,0.8611
CL,Deep-Backwardation,sfm_t3_structural,fly123,ridge,36,0.0028,0.1473,0.5556
CL,Deep-Backwardation,sfm_t3_structural,fly136,ridge,36,0.002,0.2817,0.4722
CL,Easing-Backwardation,old_t3_full,m1m2,ridge,37,0.0013,0.2627,0.6486
CL,Easing-Backwardation,old_t3_full,m2m3,ridge,37,0.0021,0.2057,0.5135
CL,Easing-Backwardation,old_t3_full,m1m6,ridge,37,9e-04,1.3458,0.5946
CL,Easing-Backwardation,old_t3_full,fly123,ridge,37,0.0043,0.1563,0.6486
CL,Easing-Backwardation,old_t3_full,fly136,ridge,37,0.0013,1.0056,0.6216
CL,Easing-Backwardation,old_t3_xgb,m1m2,xgb,45,0.0261,0.244,0.6222
CL,Easing-Backwardation,old_t3_xgb,m2m3,xgb,45,0.0319,0.1877,0.5556
CL,Easing-Backwardation,old_t3_xgb,m1m6,xgb,45,0.0258,1.2147,0.6
CL,Easing-Backwardation,old_t3_xgb,fly123,xgb,45,0.025,0.1438,0.6222
CL,Easing-Backwardation,old_t3_xgb,fly136,xgb,45,0.0267,0.9063,0.6222
CL,Easing-Backwardation,sfm_t4_combined,m1m2,ridge,37,0.0027,0.2625,0.6486
CL,Easing-Backwardation,sfm_t4_combined,m2m3,ridge,37,0.2184,0.1821,0.6757
CL,Easing-Backwardation,sfm_t4_combined,m1m6,ridge,37,0.4069,1.0369,0.5946
CL,Easing-Backwardation,sfm_t4_combined,fly123,ridge,37,0.0035,0.1563,0.6486
CL,Easing-Backwardation,sfm_t4_combined,fly136,ridge,37,0.685,0.5647,0.6216
CL,Easing-Backwardation,sfm_t4_xgb,m1m2,xgb,45,0.035,0.2428,0.6222
CL,Easing-Backwardation,sfm_t4_xgb,m2m3,xgb,45,0.0218,0.1887,0.6667
CL,Easing-Backwardation,sfm_t4_xgb,m1m6,xgb,45,0.0307,1.2116,0.6
CL,Easing-Backwardation,sfm_t4_xgb,fly123,xgb,45,0.0269,0.1437,0.6222
CL,Easing-Backwardation,sfm_t4_xgb,fly136,xgb,45,0.0251,0.9071,0.6222
CL,Easing-Backwardation,sfm_t3_structural,m1m2,ridge,37,0.0164,0.2607,0.6486
CL,Easing-Backwardation,sfm_t3_structural,m2m3,ridge,37,0.2606,0.1771,0.6486
CL,Easing-Backwardation,sfm_t3_structural,m1m6,ridge,37,0.2484,1.1673,0.6757
CL,Easing-Backwardation,sfm_t3_structural,fly123,ridge,37,0.0746,0.1506,0.6486
CL,Easing-Backwardation,sfm_t3_structural,fly136,ridge,37,0.1261,0.9407,0.6216
CL,Stable-Elevated,old_t3_full,m1m2,ridge,22,0.1405,0.255,0.5909
CL,Stable-Elevated,old_t3_full,m2m3,ridge,22,0.0012,0.2889,0.5
CL,Stable-Elevated,old_t3_full,m1m6,ridge,22,0.0014,1.037,0.5
CL,Stable-Elevated,old_t3_full,fly123,ridge,22,0.0346,0.1353,0.7727
CL,Stable-Elevated,old_t3_full,fly136,ridge,22,0.0678,0.2272,0.5
CL,Stable-Elevated,sfm_t4_combined,m1m2,ridge,22,0.0054,0.2744,0.5
CL,Stable-Elevated,sfm_t4_combined,m2m3,ridge,22,0.0026,0.2887,0.5
CL,Stable-Elevated,sfm_t4_combined,m1m6,ridge,22,0.0033,1.036,0.5
CL,Stable-Elevated,sfm_t4_combined,fly123,ridge,22,0.0044,0.1374,0.5
CL,Stable-Elevated,sfm_t4_combined,fly136,ridge,22,0.1156,0.2213,0.5
CL,Stable-Elevated,sfm_t3_structural,m1m2,ridge,22,0.2819,0.2331,0.6364
CL,Stable-Elevated,sfm_t3_structural,m2m3,ridge,22,0.0025,0.2887,0.5
CL,Stable-Elevated,sfm_t3_structural,m1m6,ridge,22,0.0031,1.0361,0.5
CL,Stable-Elevated,sfm_t3_structural,fly123,ridge,22,0.0034,0.1375,0.5
CL,Stable-Elevated,sfm_t3_structural,fly136,ridge,22,0.0392,0.2307,0.5
CL,Warm-Up,old_t3_full,m1m2,ridge,19,0.2231,0.0479,0.6316
CL,Warm-Up,old_t3_full,m2m3,ridge,19,0.3013,0.0669,0.7368
CL,Warm-Up,old_t3_full,m1m6,ridge,19,0.0028,0.5912,0.7895
CL,Warm-Up,old_t3_full,fly123,ridge,19,0.1882,0.0545,0.7368
CL,Warm-Up,old_t3_full,fly136,ridge,19,0.0071,0.5234,0.5789
CL,Warm-Up,sfm_t4_combined,m1m2,ridge,19,0.0082,0.0541,0.6316
CL,Warm-Up,sfm_t4_combined,m2m3,ridge,19,0.3658,0.0637,0.7368
CL,Warm-Up,sfm_t4_combined,m1m6,ridge,19,0.0026,0.5913,0.7895
CL,Warm-Up,sfm_t4_combined,fly123,ridge,19,0.2569,0.0522,0.6842
CL,Warm-Up,sfm_t4_combined,fly136,ridge,19,0.0623,0.5086,0.5789
CL,Warm-Up,sfm_t3_structural,m1m2,ridge,19,0.1345,0.0506,0.6316
CL,Warm-Up,sfm_t3_structural,m2m3,ridge,19,0.3219,0.0659,0.7368
CL,Warm-Up,sfm_t3_structural,m1m6,ridge,19,0.002,0.5915,0.7895
CL,Warm-Up,sfm_t3_structural,fly123,ridge,19,0.2225,0.0534,0.6842
CL,Warm-Up,sfm_t3_structural,fly136,ridge,19,0.2171,0.4647,0.5789
LCO,Deep-Backwardation,old_t3_full,m1m2,ridge,36,0.0092,0.3688,0.6111
LCO,Deep-Backwardation,old_t3_full,m2m3,ridge,36,0.2248,0.1485,0.6667
LCO,Deep-Backwardation,old_t3_full,m1m6,ridge,36,0.1511,0.6875,0.6667
LCO,Deep-Backwardation,old_t3_full,fly123,ridge,36,0.0016,0.3045,0.5556
LCO,Deep-Backwardation,old_t3_full,fly136,ridge,36,0.0019,0.3187,0.6111
LCO,Deep-Backwardation,old_t3_xgb,m1m2,xgb,56,0.0375,0.3522,0.625
LCO,Deep-Backwardation,old_t3_xgb,m2m3,xgb,56,0.033,0.2622,0.6964
LCO,Deep-Backwardation,old_t3_xgb,m1m6,xgb,56,0.0336,1.0429,0.6607
LCO,Deep-Backwardation,old_t3_xgb,fly123,xgb,56,0.0167,0.3123,0.5357
LCO,Deep-Backwardation,old_t3_xgb,fly136,xgb,56,0.043,0.3918,0.5357
LCO,Deep-Backwardation,sfm_t4_combined,m1m2,ridge,36,0.0033,0.3699,0.6111
LCO,Deep-Backwardation,sfm_t4_combined,m2m3,ridge,36,0.3102,0.14,0.6944
LCO,Deep-Backwardation,sfm_t4_combined,m1m6,ridge,36,0.2696,0.6377,0.6667
LCO,Deep-Backwardation,sfm_t4_combined,fly123,ridge,36,0.0025,0.3044,0.5556
LCO,Deep-Backwardation,sfm_t4_combined,fly136,ridge,36,0.0025,0.3186,0.6111
LCO,Deep-Backwardation,sfm_t4_xgb,m1m2,xgb,56,0.0256,0.3544,0.625
LCO,Deep-Backwardation,sfm_t4_xgb,m2m3,xgb,56,0.0133,0.2649,0.6964
LCO,Deep-Backwardation,sfm_t4_xgb,m1m6,xgb,56,0.0403,1.0393,0.6607
LCO,Deep-Backwardation,sfm_t4_xgb,fly123,xgb,56,0.0481,0.3073,0.5357
LCO,Deep-Backwardation,sfm_t4_xgb,fly136,xgb,56,0.0424,0.3919,0.5357
