product,tier,spread_target,regime,n_test,hit_rate,rmse,mae
CL,old_t1_baseline,m1m2,Stable-Elevated,16,0.375,0.1065,0.0776
CL,old_t2_physical,m1m2,Stable-Elevated,16,0.375,0.1066,0.077
CL,old_t2_freight,m1m2,Stable-Elevated,16,0.5,0.3261,0.1812
CL,old_t3_full,m1m2,Stable-Elevated,16,0.75,0.2161,0.1403
CL,sfm_t1_eia_only,m1m2,Stable-Elevated,16,0.375,0.1065,0.0776
CL,sfm_t2_eia_full,m1m2,Stable-Elevated,16,0.375,0.1141,0.085
CL,sfm_t3_structural,m1m2,Stable-Elevated,16,0.4375,0.1753,0.1415
CL,sfm_t4_combined,m1m2,Stable-Elevated,16,0.3125,0.1852,0.1497
CL,sfm_t5_enhanced,m1m2,Stable-Elevated,16,0.375,0.128,0.0987
CL,old_t3_rf,m1m2,Stable-Elevated,16,0.625,0.1078,0.0811
CL,old_t3_xgb,m1m2,Stable-Elevated,16,0.5625,0.104,0.0736
CL,sfm_t4_rf,m1m2,Stable-Elevated,16,0.4375,0.1194,0.0889
CL,sfm_t4_xgb,m1m2,Stable-Elevated,16,0.6875,0.1019,0.0728
CL,sfm_t5_rf,m1m2,Stable-Elevated,16,0.4375,0.1174,0.0906
CL,sfm_t5_xgb,m1m2,Stable-Elevated,16,0.625,0.1041,0.0751
CL,old_t1_baseline,m2m3,Stable-Elevated,16,0.625,0.111,0.0797
CL,old_t2_physical,m2m3,Stable-Elevated,16,0.375,0.125,0.0921
CL,old_t2_freight,m2m3,Stable-Elevated,16,0.375,0.1255,0.0925
CL,old_t3_full,m2m3,Stable-Elevated,16,0.375,0.1242,0.0913
CL,sfm_t1_eia_only,m2m3,Stable-Elevated,16,0.625,0.111,0.0797
CL,sfm_t2_eia_full,m2m3,Stable-Elevated,16,0.375,0.125,0.0921
CL,sfm_t3_structural,m2m3,Stable-Elevated,16,0.375,0.1259,0.0929
CL,sfm_t4_combined,m2m3,Stable-Elevated,16,0.375,0.126,0.093
CL,sfm_t5_enhanced,m2m3,Stable-Elevated,16,0.375,0.1259,0.0926
CL,old_t3_rf,m2m3,Stable-Elevated,16,0.5,0.115,0.0919
CL,old_t3_xgb,m2m3,Stable-Elevated,16,0.625,0.1102,0.0801
CL,sfm_t4_rf,m2m3,Stable-Elevated,16,0.25,0.1298,0.1045
CL,sfm_t4_xgb,m2m3,Stable-Elevated,16,0.5625,0.1109,0.079
CL,sfm_t5_rf,m2m3,Stable-Elevated,16,0.3125,0.1311,0.1059
CL,sfm_t5_xgb,m2m3,Stable-Elevated,16,0.625,0.1096,0.0782
CL,old_t1_baseline,m1m6,Stable-Elevated,16,0.625,0.4496,0.3462
CL,old_t2_physical,m1m6,Stable-Elevated,16,0.375,0.4786,0.3691
CL,old_t2_freight,m1m6,Stable-Elevated,16,0.375,0.4807,0.3716
CL,old_t3_full,m1m6,Stable-Elevated,16,0.4375,0.4755,0.3655
CL,sfm_t1_eia_only,m1m6,Stable-Elevated,16,0.625,0.4496,0.3462
CL,sfm_t2_eia_full,m1m6,Stable-Elevated,16,0.375,0.4786,0.369
CL,sfm_t3_structural,m1m6,Stable-Elevated,16,0.375,0.4809,0.3708
CL,sfm_t4_combined,m1m6,Stable-Elevated,16,0.375,0.4818,0.3717
CL,sfm_t5_enhanced,m1m6,Stable-Elevated,16,0.375,0.4797,0.3703
CL,old_t3_rf,m1m6,Stable-Elevated,16,0.5,0.4705,0.3928
CL,old_t3_xgb,m1m6,Stable-Elevated,16,0.625,0.4497,0.3464
CL,sfm_t4_rf,m1m6,Stable-Elevated,16,0.1875,0.5921,0.4753
CL,sfm_t4_xgb,m1m6,Stable-Elevated,16,0.625,0.4464,0.3435
CL,sfm_t5_rf,m1m6,Stable-Elevated,16,0.3125,0.5488,0.4512
CL,sfm_t5_xgb,m1m6,Stable-Elevated,16,0.625,0.4492,0.345
CL,old_t1_baseline,fly123,Stable-Elevated,16,0.5,0.0485,0.0359
CL,old_t2_physical,fly123,Stable-Elevated,16,0.5,0.0493,0.0347
CL,old_t2_freight,fly123,Stable-Elevated,16,0.4375,0.0498,0.0349
CL,old_t3_full,fly123,Stable-Elevated,16,0.5,0.0503,0.0349
CL,sfm_t1_eia_only,fly123,Stable-Elevated,16,0.5,0.0485,0.0359
CL,sfm_t2_eia_full,fly123,Stable-Elevated,16,0.5,0.0661,0.0501
CL,sfm_t3_structural,fly123,Stable-Elevated,16,0.5,0.0499,0.0349
CL,sfm_t4_combined,fly123,Stable-Elevated,16,0.5625,0.0551,0.0363
CL,sfm_t5_enhanced,fly123,Stable-Elevated,16,0.5,0.0637,0.0396
CL,old_t3_rf,fly123,Stable-Elevated,16,0.5625,0.1053,0.0687
CL,old_t3_xgb,fly123,Stable-Elevated,16,0.5,0.047,0.0346
CL,sfm_t4_rf,fly123,Stable-Elevated,16,0.5,0.0921,0.0677
CL,sfm_t4_xgb,fly123,Stable-Elevated,16,0.5,0.0472,0.0341
CL,sfm_t5_rf,fly123,Stable-Elevated,16,0.375,0.0973,0.0749
CL,sfm_t5_xgb,fly123,Stable-Elevated,16,0.5,0.0478,0.0353
CL,old_t1_baseline,fly136,Stable-Elevated,16,0.625,0.1207,0.1085
CL,old_t2_physical,fly136,Stable-Elevated,16,0.625,0.1094,0.0935
CL,old_t2_freight,fly136,Stable-Elevated,16,0.625,0.1095,0.0935
CL,old_t3_full,fly136,Stable-Elevated,16,0.375,0.2165,0.1559
CL,sfm_t1_eia_only,fly136,Stable-Elevated,16,0.625,0.1207,0.1085
CL,sfm_t2_eia_full,fly136,Stable-Elevated,16,0.625,0.1094,0.0935
CL,sfm_t3_structural,fly136,Stable-Elevated,16,0.625,0.122,0.1047
CL,sfm_t4_combined,fly136,Stable-Elevated,16,0.5625,0.1208,0.0977
CL,sfm_t5_enhanced,fly136,Stable-Elevated,16,0.625,0.1093,0.093
CL,old_t3_rf,fly136,Stable-Elevated,16,0.375,0.1354,0.0896
CL,old_t3_xgb,fly136,Stable-Elevated,16,0.625,0.0986,0.0781
CL,sfm_t4_rf,fly136,Stable-Elevated,16,0.4375,0.1381,0.1002
CL,sfm_t4_xgb,fly136,Stable-Elevated,16,0.625,0.0972,0.0753
CL,sfm_t5_rf,fly136,Stable-Elevated,16,0.5625,0.1205,0.0977
CL,sfm_t5_xgb,fly136,Stable-Elevated,16,0.625,0.0977,0.0783
CL,old_t1_baseline,m1m2,Stable-Depressed,1,1,6e-04,6e-04
CL,old_t3_full,m1m2,Stable-Depressed,1,0,0.0103,0.0103
CL,sfm_t1_eia_only,m1m2,Stable-Depressed,1,1,6e-04,6e-04
CL,sfm_t3_structural,m1m2,Stable-Depressed,1,1,0.0655,0.0655
CL,sfm_t4_combined,m1m2,Stable-Depressed,1,1,0.0205,0.0205
CL,sfm_t5_enhanced,m1m2,Stable-Depressed,1,1,0.0905,0.0905
CL,old_t3_rf,m1m2,Stable-Depressed,1,1,0.0924,0.0924
CL,old_t3_xgb,m1m2,Stable-Depressed,1,0,0.0087,0.0087
CL,sfm_t4_rf,m1m2,Stable-Depressed,1,1,0.0563,0.0563
CL,sfm_t4_xgb,m1m2,Stable-Depressed,1,0,0.0142,0.0142
CL,sfm_t5_rf,m1m2,Stable-Depressed,1,1,0.0953,0.0953
CL,sfm_t5_xgb,m1m2,Stable-Depressed,1,0,0.0088,0.0088
CL,old_t1_baseline,m2m3,Stable-Depressed,1,0,0.0504,0.0504
CL,old_t3_full,m2m3,Stable-Depressed,1,1,0.0367,0.0367
CL,sfm_t1_eia_only,m2m3,Stable-Depressed,1,0,0.0504,0.0504
CL,sfm_t3_structural,m2m3,Stable-Depressed,1,0,0.1191,0.1191
CL,sfm_t4_combined,m2m3,Stable-Depressed,1,1,0.0181,0.0181
CL,sfm_t5_enhanced,m2m3,Stable-Depressed,1,1,0.0081,0.0081
CL,old_t3_rf,m2m3,Stable-Depressed,1,1,0.034,0.034
CL,old_t3_xgb,m2m3,Stable-Depressed,1,0,0.0709,0.0709
CL,sfm_t4_rf,m2m3,Stable-Depressed,1,0,0.0541,0.0541
CL,sfm_t4_xgb,m2m3,Stable-Depressed,1,0,0.0709,0.0709
CL,sfm_t5_rf,m2m3,Stable-Depressed,1,0,0.0617,0.0617
CL,sfm_t5_xgb,m2m3,Stable-Depressed,1,0,0.0623,0.0623
CL,old_t1_baseline,m1m6,Stable-Depressed,1,0,0.1336,0.1336
CL,old_t3_full,m1m6,Stable-Depressed,1,0,0.1031,0.1031
CL,sfm_t1_eia_only,m1m6,Stable-Depressed,1,0,0.1336,0.1336
CL,sfm_t3_structural,m1m6,Stable-Depressed,1,1,0.0918,0.0918
CL,sfm_t4_combined,m1m6,Stable-Depressed,1,1,0.1245,0.1245
CL,sfm_t5_enhanced,m1m6,Stable-Depressed,1,1,0.0754,0.0754
CL,old_t3_rf,m1m6,Stable-Depressed,1,0,0.0334,0.0334
CL,old_t3_xgb,m1m6,Stable-Depressed,1,0,0.1278,0.1278
CL,sfm_t4_rf,m1m6,Stable-Depressed,1,0,0.2432,0.2432
CL,sfm_t4_xgb,m1m6,Stable-Depressed,1,0,0.1308,0.1308
CL,sfm_t5_rf,m1m6,Stable-Depressed,1,0,0.1291,0.1291
CL,sfm_t5_xgb,m1m6,Stable-Depressed,1,0,0.1394,0.1394
CL,old_t1_baseline,fly123,Stable-Depressed,1,0,0.0498,0.0498
CL,old_t3_full,fly123,Stable-Depressed,1,0,0.0568,0.0568
CL,sfm_t1_eia_only,fly123,Stable-Depressed,1,0,0.0498,0.0498
CL,sfm_t3_structural,fly123,Stable-Depressed,1,0,0.0596,0.0596
CL,sfm_t4_combined,fly123,Stable-Depressed,1,0,0.0568,0.0568
CL,sfm_t5_enhanced,fly123,Stable-Depressed,1,0,0.0665,0.0665
CL,old_t3_rf,fly123,Stable-Depressed,1,0,0.1962,0.1962
CL,old_t3_xgb,fly123,Stable-Depressed,1,0,0.0451,0.0451
