product,regime,tier,spread_target,estimator,n_events,r2_insample,r2_cv,rmse_bbl,hit_rate,hit_sig,n_sig,coef_intercept,coef_surprise_z,coef_cushing_stocks_chg_z,coef_gasoline_stocks_chg_z,coef_distillate_stocks_chg_z,coef_crude_prod_chg_z,coef_crude_net_exports_z,coef_crude_stocks_5yr_dev_z,coef_cushing_stocks_5yr_dev_z,coef_cftc_net_mm_zscore,coef_cftc_mm_net_chg_z,coef_td3c_z52,coef_td3c_wow_ws_z,coef_bdi_z52,coef_dxy_z,coef_dxy_4wk_chg_z,coef_sofr_z,coef_opec_prod_z,coef_rig_chg_wow_z,coef_refinery_util_dev,coef_hdd_dev_5yr_z,coef_cdd_us_ne,coef_gasoil_crack_dev_z,coef_sin_ann,coef_cos_ann,coef_driving_season,coef_heating_season,coef_turnaround_season,coef_sx_cushing,coef_sx_td3c,coef_sx_cftc,coef_sx_5yr_dev,coef_sx_util
CL,Warm-Up,sfm_t2_eia_full,m1m2,Ridge,29,1e-04,-0.1056,0.0808,0.5172,0.5357,28,0.0111540300031334,-8.85652289443574e-06,0,0,0,0,-0.000114970083893789,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Warm-Up,sfm_t2_eia_full,m2m3,Ridge,29,6e-04,-0.0407,0.0816,0.6207,0.6071,28,0.0337173889152058,-3.07536378439939e-05,0,0,0,0,-0.000141789635599835,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Warm-Up,sfm_t2_eia_full,m1m6,Ridge,29,9e-04,-0.0685,0.534,0.6552,0.6429,28,0.174989569112276,0.000582351430764152,0,0,0,0,-0.000703038355284266,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Warm-Up,sfm_t2_eia_full,fly123,Ridge,29,7e-04,-0.0963,0.0671,0.6897,0.6786,28,-0.0224662708901308,3.3056658793652e-05,0,0,0,0,0.000127981599977021,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Warm-Up,sfm_t2_eia_full,fly136,Ridge,29,0.0199,-0.0663,0.4293,0.6207,0.6071,28,-0.0847191564902866,-0.0102933120062704,0,0,0,0,0.00544721855570447,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,Warm-Up,sfm_t3_structural_only,m1m2,Ridge,29,0.2212,-0.1498,0.0713,0.7241,0.7241,29,-0.939667391683355,,,,,,,-0.00135656185747211,0.00320692729790283,0,0,0,0,0,-0.0426884283999647,-0.00515515400136348,-0.557082985548349,-0.00373908694745667,0,0,-0.00329347503339346,0.000696432221740277,-0.225591463219078,0.00775196801961112,-0.0033513902917455,0.00206237253610953,-0.0030084845002419,-0.00356151437956856,,,,,
CL,Warm-Up,sfm_t3_structural_only,m2m3,Ridge,29,0.6578,0.2851,0.0477,0.6897,0.6897,29,-2.21009726291087,,,,,,,-0.00501254689309643,-0.0424483258151281,0,0,0,0,0,-0.224468841598236,0.0225430197603817,-1.21744053473445,0.00840313562671862,0,0,-0.0199116495186428,0.00420641737947558,-0.670894553471272,0.0147775015619425,-0.0147473296018527,0.00704000753614383,0.0223931594653852,0.031370997048848,,,,,
CL,Warm-Up,sfm_t3_structural_only,m1m6,Ridge,29,0.5448,-0.0787,0.3604,0.6897,0.6897,29,-6.44200254853144,,,,,,,0.00465530221398285,-0.0623366358362565,0,0,0,0,0,0.00241877378140067,0.0466781735654534,-4.03229762502361,0.00270862345992065,0,0,-0.0366000642232601,0.00590514637405249,-5.68906411098999,0.0590027299014747,-0.0716312306658037,0.0321437989571981,0.0664457616205174,0.0913444231139517,,,,,
CL,Warm-Up,sfm_t3_structural_only,fly123,Ridge,29,0.0058,-0.0631,0.067,0.6897,0.6897,29,-0.0188611462607719,,,,,,,0.000150953187322861,0.000561306610843833,0,0,0,0,0,0.000149118736826928,-0.000129351321987366,0.00310483015047246,-0.0001451854679256,0,0,5.59071113621465e-05,-1.68883314794717e-05,-0.000465940252035224,0.000123437502830712,0.000189719103327633,-0.000235477139744909,0.000133029848460922,2.95074828945109e-05,,,,,
CL,Warm-Up,sfm_t3_structural_only,fly136,Ridge,29,0.0319,-0.116,0.4266,0.6207,0.6207,29,-0.00506546973996982,,,,,,,-0.00287722759800257,-0.00530619498350354,0,0,0,0,0,-0.0110549805003714,-0.00222740278107421,0.0483519419959522,0.00118100203929498,0,0,3.61808106744747e-05,0.000132378516197735,0.118412940843622,-0.00200012996535312,-0.00122079705545452,0.00308874877528818,-0.00396134930204045,-0.00500730965382938,,,,,
