date,M1M2,regime_label,level_z_126,signal,fwd10,fwd21
2024-07-01,1.52499999999998,Easing-Backwardation,-1.35122710360292,FLAT,,
2024-07-02,0.208333333333371,Easing-Backwardation,-1.48840059865148,FLAT,,
2024-07-03,0.433333333333394,Easing-Backwardation,-1.46591313529005,FLAT,,
2024-07-04,-0.734782608695582,Deep-Contango,-1.58843468337918,FLAT,,
2024-07-05,-0.015625,Deep-Contango,-1.51298599410953,FLAT,,
2024-07-07,-0.846590909090878,Deep-Contango,-1.59948520774499,FLAT,,
2024-07-08,-0.892857142857224,Deep-Contango,-1.60732136900628,FLAT,,
2024-07-09,0.776785714285666,Easing-Backwardation,-1.43565315513555,FLAT,,
2024-07-10,1.16666666666663,Easing-Backwardation,-1.39801720460667,FLAT,,
2024-07-11,3.8226461038962,Easing-Backwardation,-1.12306698908461,FLAT,,
2024-07-12,-0.479166666666629,Deep-Contango,-1.57257386899674,FLAT,2.00416666666661,
2024-07-14,-0.195623342175054,Deep-Contango,-1.54881824035642,FLAT,0.403956675508425,
2024-07-15,-0.442307692307736,Deep-Contango,-1.58212024456791,FLAT,0.87564102564113,
2024-07-16,-1.10000000000002,Deep-Contango,-1.65796239987333,FLAT,0.365217391304438,
2024-07-17,-1.51470588235293,Deep-Contango,-1.70893628608103,FLAT,1.49908088235293,
2024-07-18,-2.8125,Deep-Contango,-1.85242008549202,BUY,1.96590909090912,
2024-07-19,-1.27403846153845,Deep-Contango,-1.70019838586525,FLAT,0.381181318681226,
2024-07-21,-1.89358974358981,Deep-Contango,-1.76985643260747,BUY,2.67037545787548,
2024-07-22,-1.5,Deep-Contango,-1.73482417587032,FLAT,2.66666666666663,
2024-07-23,-1.375,Deep-Contango,-1.72796807250889,FLAT,5.1976461038962,
2024-07-24,-1,Deep-Contango,-1.69551510608618,FLAT,0.520833333333371,
2024-07-25,-1.26666666666665,Deep-Contango,-1.73217855918934,FLAT,1.0710433244916,2.79166666666663
2024-07-26,-2.63888888888891,Deep-Contango,-1.88400850536739,BUY,2.19658119658117,2.84722222222228
2024-07-28,-1.65625,Deep-Contango,-1.79422457344541,BUY,0.55624999999998,2.08958333333339
2024-07-29,-1.75,Deep-Contango,-1.81784014164614,BUY,0.23529411764707,1.01521739130442
